,Country,Year,Fossil fuels,Gas,Coal,Oil,Solar,Wind,Low-cacbon,Renewables,Hydropower
1289,Bulgaria,2016,"20,934 kWh","4,313 kWh","9,140 kWh","7,481 kWh",513 kWh,526 kWh,"20,934 kWh","2,885 kWh","1,433 kWh"
1290,Canada,2016,"70,293 kWh","29,128 kWh","5,901 kWh","35,264 kWh",299 kWh,"2,293 kWh","70,293 kWh","32,723 kWh","28,571 kWh"
1291,Chile,2016,"19,152 kWh","3,272 kWh","4,770 kWh","11,110 kWh",378 kWh,363 kWh,"19,152 kWh","4,842 kWh","2,915 kWh"
1292,China,2016,"21,823 kWh","1,494 kWh","15,462 kWh","4,867 kWh",127 kWh,460 kWh,"21,823 kWh","2,951 kWh","2,202 kWh"
1293,Colombia,2016,"8,503 kWh","2,534 kWh","1,334 kWh","4,635 kWh",0 kWh,3 kWh,"8,503 kWh","2,932 kWh","2,630 kWh"
1294,Croatia,2016,"17,072 kWh","5,977 kWh","1,792 kWh","9,303 kWh",42 kWh,643 kWh,"17,072 kWh","5,356 kWh","4,343 kWh"
1295,Cyprus,2016,,,4 kWh,"25,433 kWh",326 kWh,507 kWh,,,
1296,Czechia,2016,"35,273 kWh","7,751 kWh","18,168 kWh","9,354 kWh",543 kWh,126 kWh,"35,273 kWh","2,956 kWh",509 kWh
1297,Denmark,2016,"25,149 kWh","5,897 kWh","4,307 kWh","14,946 kWh",349 kWh,"5,996 kWh","25,149 kWh","9,518 kWh",9 kWh
1298,Ecuador,2016,"8,698 kWh",539 kWh,5 kWh,"8,154 kWh",6 kWh,14 kWh,"8,698 kWh","2,702 kWh","2,578 kWh"
1299,Egypt,2016,"9,853 kWh","4,946 kWh",142 kWh,"4,765 kWh",6 kWh,64 kWh,"9,853 kWh",425 kWh,354 kWh
1300,Estonia,2016,"50,155 kWh","3,785 kWh","33,485 kWh","12,884 kWh",20 kWh,"1,208 kWh","50,155 kWh","3,620 kWh",71 kWh
1301,Finland,2016,"33,720 kWh","3,653 kWh","9,266 kWh","20,800 kWh",11 kWh,"1,495 kWh","33,720 kWh","16,229 kWh","7,697 kWh"
1302,France,2016,"22,225 kWh","6,959 kWh","1,524 kWh","13,742 kWh",342 kWh,891 kWh,"22,225 kWh","4,642 kWh","2,507 kWh"
1303,Germany,2016,"37,192 kWh","10,310 kWh","10,809 kWh","16,073 kWh","1,221 kWh","2,599 kWh","37,192 kWh","6,843 kWh",668 kWh
1304,Greece,2016,"24,654 kWh","4,132 kWh","4,716 kWh","15,807 kWh",979 kWh,"1,281 kWh","24,654 kWh","3,902 kWh","1,380 kWh"
1305,Hong Kong,2016,"45,021 kWh","4,205 kWh","10,476 kWh","30,341 kWh",1 kWh,0 kWh,"45,021 kWh",46 kWh,0 kWh
1306,Hungary,2016,"20,612 kWh","9,512 kWh","2,599 kWh","8,501 kWh",67 kWh,187 kWh,"20,612 kWh","1,217 kWh",71 kWh
1307,Iceland,2016,,,"4,005 kWh","32,301 kWh",0 kWh,73 kWh,,"146,732 kWh","107,421 kWh"
1308,India,2016,"5,673 kWh",379 kWh,"3,427 kWh","1,866 kWh",23 kWh,87 kWh,"5,673 kWh",439 kWh,257 kWh
1309,Indonesia,2016,"6,801 kWh","1,704 kWh","2,079 kWh","3,018 kWh",0 kWh,0 kWh,"6,801 kWh",411 kWh,191 kWh
1310,Iran,2016,"33,856 kWh","23,566 kWh",127 kWh,"10,163 kWh",0 kWh,5 kWh,"33,856 kWh",502 kWh,496 kWh
1311,Iraq,2016,,"2,557 kWh",,"10,954 kWh",4 kWh,0 kWh,,237 kWh,233 kWh
1312,Ireland,2016,"33,902 kWh","10,434 kWh","5,196 kWh","18,271 kWh",3 kWh,"3,490 kWh","33,902 kWh","4,616 kWh",387 kWh
1313,Israel,2016,"33,841 kWh","11,336 kWh","7,859 kWh","14,645 kWh",537 kWh,10 kWh,"33,841 kWh",635 kWh,8 kWh
1314,Italy,2016,"25,083 kWh","11,235 kWh","2,125 kWh","11,723 kWh",984 kWh,788 kWh,"25,083 kWh","5,222 kWh","1,889 kWh"
1315,Japan,2016,"37,492 kWh","9,167 kWh","10,988 kWh","17,337 kWh",913 kWh,113 kWh,"37,492 kWh","3,322 kWh","1,674 kWh"
1316,Kazakhstan,2016,"38,132 kWh","8,305 kWh","20,534 kWh","9,292 kWh",13 kWh,41 kWh,"38,132 kWh","1,775 kWh","1,721 kWh"
