,Country,Year,Fossil fuels,Gas,Coal,Oil,Solar,Wind,Low-cacbon,Renewables,Hydropower
0,Algeria,2000,"9,741 kWh","6,207 kWh",183 kWh,"3,351 kWh",0 kWh,0 kWh,"9,741 kWh",5 kWh,5 kWh
1,Argentina,2000,"16,062 kWh","8,712 kWh",203 kWh,"7,147 kWh",0 kWh,3 kWh,"16,062 kWh","2,315 kWh","2,279 kWh"
2,Australia,2000,"65,895 kWh","10,808 kWh","31,111 kWh","23,976 kWh",7 kWh,21 kWh,"65,895 kWh","2,738 kWh","2,560 kWh"
3,Austria,2000,"32,760 kWh","9,763 kWh","5,302 kWh","17,696 kWh",1 kWh,25 kWh,"32,760 kWh","16,103 kWh","15,443 kWh"
4,Azerbaijan,2000,"15,569 kWh","6,450 kWh",0 kWh,"9,119 kWh",0 kWh,0 kWh,"15,569 kWh",554 kWh,554 kWh
5,Bangladesh,2000,"1,036 kWh",701 kWh,30 kWh,306 kWh,0 kWh,0 kWh,"1,036 kWh",17 kWh,17 kWh
6,Belarus,2000,"24,860 kWh","14,814 kWh","1,128 kWh","8,919 kWh",0 kWh,0 kWh,"24,860 kWh",8 kWh,8 kWh
7,Belgium,2000,"58,794 kWh","15,126 kWh","8,640 kWh","35,028 kWh",0 kWh,5 kWh,"58,794 kWh",314 kWh,133 kWh
8,Brazil,2000,"7,615 kWh",552 kWh,860 kWh,"6,204 kWh",0 kWh,0 kWh,"7,615 kWh","5,688 kWh","5,118 kWh"
9,Bulgaria,2000,"19,514 kWh","4,207 kWh","9,039 kWh","6,268 kWh",0 kWh,0 kWh,"19,514 kWh",976 kWh,976 kWh
10,Canada,2000,"76,803 kWh","29,078 kWh","11,576 kWh","36,149 kWh",2 kWh,25 kWh,"76,803 kWh","35,387 kWh","34,381 kWh"
11,Chile,2000,"16,062 kWh","4,569 kWh","2,434 kWh","9,059 kWh",0 kWh,0 kWh,"16,062 kWh","3,961 kWh","3,675 kWh"
12,China,2000,"8,769 kWh",195 kWh,"6,496 kWh","2,078 kWh",0 kWh,1 kWh,"8,769 kWh",528 kWh,520 kWh
13,Colombia,2000,"5,648 kWh","1,463 kWh",802 kWh,"3,383 kWh",0 kWh,0 kWh,"5,648 kWh","2,364 kWh","2,324 kWh"
14,Croatia,2000,"17,031 kWh","5,649 kWh","1,104 kWh","10,278 kWh",0 kWh,0 kWh,"17,031 kWh","4,196 kWh","4,195 kWh"
15,Cyprus,2000,,,442 kWh,"31,471 kWh",0 kWh,0 kWh,,,
16,Czechia,2000,"41,855 kWh","8,523 kWh","24,106 kWh","9,226 kWh",0 kWh,0 kWh,"41,855 kWh",740 kWh,508 kWh
17,Denmark,2000,"41,144 kWh","9,553 kWh","8,647 kWh","22,944 kWh",1 kWh,"2,348 kWh","41,144 kWh","3,142 kWh",17 kWh
18,Ecuador,2000,"6,464 kWh",259 kWh,1 kWh,"6,204 kWh",0 kWh,0 kWh,"6,464 kWh","1,782 kWh","1,782 kWh"
19,Egypt,2000,"7,375 kWh","2,697 kWh",142 kWh,"4,536 kWh",0 kWh,3 kWh,"7,375 kWh",591 kWh,587 kWh
20,Estonia,2000,"39,586 kWh","5,512 kWh","24,532 kWh","9,542 kWh",0 kWh,0 kWh,"39,586 kWh",136 kWh,11 kWh
21,Finland,2000,"43,306 kWh","7,614 kWh","11,268 kWh","24,424 kWh",1 kWh,45 kWh,"43,306 kWh","13,748 kWh","8,375 kWh"
22,France,2000,"29,314 kWh","7,090 kWh","2,808 kWh","19,415 kWh",0 kWh,2 kWh,"29,314 kWh","3,572 kWh","3,345 kWh"
23,Germany,2000,"41,591 kWh","10,168 kWh","12,165 kWh","19,257 kWh",0 kWh,344 kWh,"41,591 kWh","1,412 kWh",903 kWh
24,Greece,2000,"32,687 kWh","1,776 kWh","9,508 kWh","21,403 kWh",0 kWh,121 kWh,"32,687 kWh","1,110 kWh",989 kWh
25,Hong Kong,2000,"29,337 kWh","4,180 kWh","7,495 kWh","17,662 kWh",0 kWh,0 kWh,"29,337 kWh",,
26,Hungary,2000,"23,508 kWh","11,008 kWh","4,410 kWh","8,090 kWh",0 kWh,0 kWh,"23,508 kWh",72 kWh,52 kWh
27,Iceland,2000,,,"3,907 kWh","34,102 kWh",0 kWh,0 kWh,,"80,049 kWh","66,715 kWh"
28,India,2000,"3,252 kWh",239 kWh,"1,804 kWh","1,209 kWh",0 kWh,4 kWh,"3,252 kWh",224 kWh,215 kWh
29,Indonesia,2000,"5,232 kWh","1,542 kWh",715 kWh,"2,976 kWh",0 kWh,0 kWh,"5,232 kWh",203 kWh,138 kWh
30,Iran,2000,"21,135 kWh","9,069 kWh",231 kWh,"11,835 kWh",0 kWh,2 kWh,"21,135 kWh",172 kWh,171 kWh
31,Iraq,2000,,"1,215 kWh",,"11,502 kWh",0 kWh,0 kWh,,384 kWh,384 kWh
32,Ireland,2000,"45,058 kWh","10,624 kWh","8,071 kWh","26,363 kWh",0 kWh,191 kWh,"45,058 kWh",936 kWh,664 kWh
33,Israel,2000,"37,156 kWh",15 kWh,"11,892 kWh","25,249 kWh",0 kWh,0 kWh,"37,156 kWh",15 kWh,15 kWh
34,Italy,2000,"34,214 kWh","11,916 kWh","2,556 kWh","19,743 kWh",1 kWh,29 kWh,"34,214 kWh","2,637 kWh","2,294 kWh"
35,Japan,2000,"39,712 kWh","5,967 kWh","8,758 kWh","24,986 kWh",8 kWh,3 kWh,"39,712 kWh","2,377 kWh","1,970 kWh"
36,Kazakhstan,2000,"22,806 kWh","3,137 kWh","13,616 kWh","6,052 kWh",0 kWh,0 kWh,"22,806 kWh","1,462 kWh","1,462 kWh"
37,Kuwait,2000,"109,536 kWh","47,134 kWh",0 kWh,"62,402 kWh",0 kWh,0 kWh,"109,536 kWh",,
38,Latvia,2000,"12,290 kWh","5,322 kWh",640 kWh,"6,328 kWh",0 kWh,6 kWh,"12,290 kWh","3,490 kWh","3,484 kWh"
39,Lithuania,2000,"14,763 kWh","6,670 kWh",298 kWh,"7,795 kWh",0 kWh,0 kWh,"14,763 kWh",279 kWh,279 kWh
40,Luxembourg,2000,"84,232 kWh","17,923 kWh","2,929 kWh","63,381 kWh",0 kWh,168 kWh,"84,232 kWh","1,170 kWh",838 kWh
41,Malaysia,2000,"25,659 kWh","12,532 kWh","1,259 kWh","11,868 kWh",0 kWh,0 kWh,"25,659 kWh",981 kWh,901 kWh
42,Mexico,2000,"15,867 kWh","3,669 kWh",778 kWh,"11,419 kWh",0 kWh,1 kWh,"15,867 kWh","1,195 kWh",999 kWh
43,Morocco,2000,"4,033 kWh",15 kWh,"1,094 kWh","2,924 kWh",0 kWh,7 kWh,"4,033 kWh",81 kWh,74 kWh
44,Netherlands,2000,"62,040 kWh","25,782 kWh","5,678 kWh","30,579 kWh",1 kWh,154 kWh,"62,040 kWh",586 kWh,26 kWh
45,New Zealand,2000,"37,879 kWh","15,240 kWh","3,336 kWh","19,304 kWh",0 kWh,92 kWh,"37,879 kWh","21,664 kWh","18,742 kWh"
46,North Macedonia,2000,"13,439 kWh",282 kWh,"7,628 kWh","5,529 kWh",0 kWh,0 kWh,"13,439 kWh","1,698 kWh","1,698 kWh"
47,Norway,2000,"35,677 kWh","9,434 kWh","2,571 kWh","23,673 kWh",3 kWh,20 kWh,"35,677 kWh","93,578 kWh","93,372 kWh"
48,Oman,2000,"47,317 kWh","32,740 kWh",1 kWh,"14,576 kWh",0 kWh,0 kWh,"47,317 kWh",,
49,Pakistan,2000,"2,761 kWh","1,163 kWh",153 kWh,"1,445 kWh",0 kWh,0 kWh,"2,761 kWh",355 kWh,336 kWh
50,Peru,2000,"3,715 kWh",125 kWh,275 kWh,"3,315 kWh",,0 kWh,"3,715 kWh","1,814 kWh","1,795 kWh"
51,Philippines,2000,"3,226 kWh",1 kWh,690 kWh,"2,535 kWh",0 kWh,0 kWh,"3,226 kWh",719 kWh,296 kWh
52,Poland,2000,"26,246 kWh","3,008 kWh","16,988 kWh","6,249 kWh",0 kWh,0 kWh,"26,246 kWh",180 kWh,162 kWh
53,Portugal,2000,"24,753 kWh","2,242 kWh","4,191 kWh","18,320 kWh",0 kWh,48 kWh,"24,753 kWh","3,723 kWh","3,250 kWh"
54,Qatar,2000,,"174,894 kWh",,"32,861 kWh",0 kWh,0 kWh,,,
55,Romania,2000,"16,476 kWh","7,258 kWh","3,902 kWh","5,316 kWh",0 kWh,0 kWh,"16,476 kWh","1,994 kWh","1,994 kWh"
56,Russia,2000,"43,296 kWh","24,937 kWh","8,377 kWh","9,982 kWh",0 kWh,0 kWh,"43,296 kWh","3,306 kWh","3,304 kWh"
57,Saudi Arabia,2000,"61,951 kWh","21,961 kWh",0 kWh,"39,990 kWh",0 kWh,0 kWh,"61,951 kWh",,
58,Singapore,2000,"109,096 kWh","4,089 kWh",0 kWh,"105,007 kWh",0 kWh,0 kWh,"109,096 kWh",,
59,Slovakia,2000,"29,349 kWh","12,495 kWh","9,254 kWh","7,600 kWh",0 kWh,0 kWh,"29,349 kWh","2,538 kWh","2,538 kWh"
60,Slovenia,2000,"26,989 kWh","4,837 kWh","7,956 kWh","14,196 kWh",0 kWh,0 kWh,"26,989 kWh","5,826 kWh","5,713 kWh"
61,South Africa,2000,"24,430 kWh",243 kWh,"18,541 kWh","5,646 kWh",1 kWh,0 kWh,"24,430 kWh",103 kWh,70 kWh
62,South Korea,2000,"41,133 kWh","4,233 kWh","10,670 kWh","26,230 kWh",0 kWh,1 kWh,"41,133 kWh",260 kWh,253 kWh
63,Spain,2000,"30,535 kWh","4,344 kWh","5,976 kWh","20,216 kWh",1 kWh,343 kWh,"30,535 kWh","2,628 kWh","2,146 kWh"
64,Sri Lanka,2000,,,0 kWh,"2,346 kWh",0 kWh,1 kWh,,505 kWh,505 kWh
65,Sweden,2000,"25,930 kWh",911 kWh,"3,364 kWh","21,656 kWh",0 kWh,152 kWh,"25,930 kWh","27,822 kWh","26,194 kWh"
66,Switzerland,2000,"24,810 kWh","3,940 kWh",223 kWh,"20,647 kWh",5 kWh,1 kWh,"24,810 kWh","15,543 kWh","15,167 kWh"
67,Taiwan,2000,"40,245 kWh","3,049 kWh","14,727 kWh","22,469 kWh",0 kWh,0 kWh,"40,245 kWh",758 kWh,608 kWh
68,Thailand,2000,"11,462 kWh","3,361 kWh","1,454 kWh","6,647 kWh",0 kWh,0 kWh,"11,462 kWh",303 kWh,276 kWh
69,Trinidad and Tobago,2000,"89,154 kWh","73,660 kWh",0 kWh,"15,494 kWh",1 kWh,0 kWh,"89,154 kWh",,
70,Turkey,2000,"12,049 kWh","2,175 kWh","4,074 kWh","5,800 kWh",0 kWh,2 kWh,"12,049 kWh","1,437 kWh","1,424 kWh"
71,Turkmenistan,2000,,"15,673 kWh",,"10,549 kWh",0 kWh,0 kWh,,2 kWh,2 kWh
72,USSR,2000,,,,,,,,,
73,Ukraine,2000,"27,264 kWh","15,180 kWh","9,171 kWh","2,913 kWh",0 kWh,0 kWh,"27,264 kWh",682 kWh,682 kWh
74,United Arab Emirates,2000,,"93,561 kWh",,"70,020 kWh",0 kWh,0 kWh,,0 kWh,0 kWh
75,United Kingdom,2000,"40,661 kWh","17,220 kWh","7,258 kWh","16,182 kWh",0 kWh,48 kWh,"40,661 kWh",514 kWh,256 kWh
76,United States,2000,"82,240 kWh","22,252 kWh","22,261 kWh","37,727 kWh",5 kWh,59 kWh,"82,240 kWh","3,786 kWh","2,856 kWh"
77,Uzbekistan,2000,"23,356 kWh","19,528 kWh",441 kWh,"3,387 kWh",0 kWh,0 kWh,"23,356 kWh",697 kWh,697 kWh
78,Venezuela,2000,"25,887 kWh","12,689 kWh",63 kWh,"13,136 kWh",0 kWh,0 kWh,"25,887 kWh","7,612 kWh","7,612 kWh"
79,Vietnam,2000,"2,166 kWh",195 kWh,690 kWh,"1,280 kWh",0 kWh,0 kWh,"2,166 kWh",545 kWh,545 kWh
80,Algeria,2001,"9,955 kWh","6,324 kWh",209 kWh,"3,422 kWh",0 kWh,0 kWh,"9,955 kWh",6 kWh,6 kWh
81,Argentina,2001,"14,777 kWh","8,067 kWh",164 kWh,"6,546 kWh",0 kWh,4 kWh,"14,777 kWh","2,902 kWh","2,867 kWh"
82,Australia,2001,"65,693 kWh","11,518 kWh","30,428 kWh","23,747 kWh",8 kWh,44 kWh,"65,693 kWh","2,645 kWh","2,461 kWh"
83,Austria,2001,"34,883 kWh","10,309 kWh","5,458 kWh","19,116 kWh",2 kWh,63 kWh,"34,883 kWh","15,538 kWh","14,783 kWh"
84,Azerbaijan,2001,"14,900 kWh","9,149 kWh",4 kWh,"5,747 kWh",0 kWh,0 kWh,"14,900 kWh",461 kWh,461 kWh
85,Bangladesh,2001,"1,159 kWh",770 kWh,31 kWh,358 kWh,0 kWh,0 kWh,"1,159 kWh",22 kWh,22 kWh
86,Belarus,2001,"24,298 kWh","14,809 kWh",814 kWh,"8,675 kWh",0 kWh,0 kWh,"24,298 kWh",9 kWh,9 kWh
87,Belgium,2001,"58,480 kWh","14,878 kWh","8,194 kWh","35,409 kWh",0 kWh,11 kWh,"58,480 kWh",321 kWh,126 kWh
88,Brazil,2001,"7,695 kWh",689 kWh,835 kWh,"6,171 kWh",0 kWh,1 kWh,"7,695 kWh","4,973 kWh","4,416 kWh"
89,Bulgaria,2001,"20,485 kWh","3,564 kWh","10,383 kWh","6,537 kWh",0 kWh,0 kWh,"20,485 kWh",635 kWh,635 kWh
90,Canada,2001,"75,800 kWh","27,108 kWh","11,906 kWh","36,786 kWh",2 kWh,31 kWh,"75,800 kWh","32,493 kWh","31,415 kWh"
91,Chile,2001,"15,734 kWh","5,121 kWh","1,888 kWh","8,725 kWh",0 kWh,1 kWh,"15,734 kWh","4,450 kWh","4,103 kWh"
92,China,2001,"9,111 kWh",217 kWh,"6,785 kWh","2,108 kWh",0 kWh,2 kWh,"9,111 kWh",648 kWh,640 kWh
93,Colombia,2001,"5,581 kWh","1,491 kWh",777 kWh,"3,313 kWh",0 kWh,0 kWh,"5,581 kWh","2,373 kWh","2,333 kWh"
94,Croatia,2001,"17,845 kWh","5,974 kWh","1,240 kWh","10,630 kWh",0 kWh,0 kWh,"17,845 kWh","4,681 kWh","4,681 kWh"
95,Cyprus,2001,,,639 kWh,"31,086 kWh",0 kWh,0 kWh,,,
96,Czechia,2001,"42,566 kWh","9,131 kWh","23,668 kWh","9,767 kWh",0 kWh,0 kWh,"42,566 kWh",804 kWh,590 kWh
97,Denmark,2001,"40,975 kWh","9,945 kWh","9,106 kWh","21,923 kWh",1 kWh,"2,360 kWh","40,975 kWh","3,276 kWh",15 kWh
98,Ecuador,2001,"6,595 kWh",259 kWh,2 kWh,"6,334 kWh",0 kWh,0 kWh,"6,595 kWh","1,617 kWh","1,617 kWh"
99,Egypt,2001,"7,555 kWh","3,237 kWh",122 kWh,"4,197 kWh",0 kWh,7 kWh,"7,555 kWh",588 kWh,581 kWh
100,Estonia,2001,"41,607 kWh","5,953 kWh","24,547 kWh","11,107 kWh",0 kWh,0 kWh,"41,607 kWh",66 kWh,16 kWh
101,Finland,2001,"45,737 kWh","8,242 kWh","13,587 kWh","23,908 kWh",1 kWh,40 kWh,"45,737 kWh","12,608 kWh","7,478 kWh"
102,France,2001,"29,237 kWh","7,400 kWh","2,443 kWh","19,395 kWh",0 kWh,7 kWh,"29,237 kWh","3,947 kWh","3,697 kWh"
103,Germany,2001,"42,451 kWh","10,728 kWh","12,206 kWh","19,518 kWh",4 kWh,378 kWh,"42,451 kWh","1,466 kWh",836 kWh
104,Greece,2001,"33,181 kWh","1,747 kWh","9,797 kWh","21,637 kWh",0 kWh,201 kWh,"33,181 kWh",780 kWh,556 kWh
105,Hong Kong,2001,"36,671 kWh","4,175 kWh","11,716 kWh","20,780 kWh",0 kWh,0 kWh,"36,671 kWh",,
106,Hungary,2001,"24,273 kWh","12,239 kWh","4,200 kWh","7,834 kWh",0 kWh,0 kWh,"24,273 kWh",76 kWh,54 kWh
107,Iceland,2001,,,"4,182 kWh","31,579 kWh",0 kWh,0 kWh,,"82,031 kWh","67,692 kWh"
108,India,2001,"3,213 kWh",236 kWh,"1,786 kWh","1,191 kWh",0 kWh,6 kWh,"3,213 kWh",208 kWh,196 kWh
109,Indonesia,2001,"5,504 kWh","1,572 kWh",895 kWh,"3,037 kWh",0 kWh,0 kWh,"5,504 kWh",236 kWh,158 kWh
110,Iran,2001,"22,196 kWh","9,979 kWh",223 kWh,"11,995 kWh",0 kWh,1 kWh,"22,196 kWh",183 kWh,182 kWh
111,Iraq,2001,,"1,031 kWh",,"12,718 kWh",0 kWh,0 kWh,,428 kWh,428 kWh
112,Ireland,2001,"47,042 kWh","10,907 kWh","8,321 kWh","27,814 kWh",0 kWh,256 kWh,"47,042 kWh",794 kWh,457 kWh
113,Israel,2001,"36,415 kWh",15 kWh,"13,461 kWh","22,938 kWh",0 kWh,5 kWh,"36,415 kWh",9 kWh,5 kWh
114,Italy,2001,"34,002 kWh","11,942 kWh","2,714 kWh","19,346 kWh",1 kWh,61 kWh,"34,002 kWh","2,800 kWh","2,413 kWh"
115,Japan,2001,"39,256 kWh","6,117 kWh","8,949 kWh","24,190 kWh",12 kWh,6 kWh,"39,256 kWh","2,295 kWh","1,885 kWh"
116,Kazakhstan,2001,"25,682 kWh","2,679 kWh","16,972 kWh","6,032 kWh",0 kWh,0 kWh,"25,682 kWh","1,554 kWh","1,554 kWh"
117,Kuwait,2001,"107,601 kWh","45,314 kWh",0 kWh,"62,287 kWh",0 kWh,0 kWh,"107,601 kWh",,
118,Latvia,2001,"13,701 kWh","5,612 kWh",605 kWh,"7,483 kWh",0 kWh,4 kWh,"13,701 kWh","3,535 kWh","3,528 kWh"
119,Lithuania,2001,"16,368 kWh","7,013 kWh",274 kWh,"9,082 kWh",0 kWh,0 kWh,"16,368 kWh",270 kWh,269 kWh
120,Luxembourg,2001,"89,217 kWh","19,670 kWh","3,121 kWh","66,427 kWh",0 kWh,158 kWh,"89,217 kWh","1,131 kWh",786 kWh
121,Malaysia,2001,"25,748 kWh","11,770 kWh","1,467 kWh","12,511 kWh",0 kWh,0 kWh,"25,748 kWh",835 kWh,757 kWh
122,Mexico,2001,"15,621 kWh","3,641 kWh",842 kWh,"11,138 kWh",0 kWh,1 kWh,"15,621 kWh","1,030 kWh",840 kWh
123,Morocco,2001,"4,278 kWh",15 kWh,"1,372 kWh","2,891 kWh",0 kWh,21 kWh,"4,278 kWh",108 kWh,88 kWh
124,Netherlands,2001,"64,075 kWh","26,167 kWh","6,014 kWh","31,894 kWh",2 kWh,152 kWh,"64,075 kWh",647 kWh,22 kWh
125,New Zealand,2001,"39,378 kWh","15,938 kWh","4,095 kWh","19,345 kWh",0 kWh,105 kWh,"39,378 kWh","19,107 kWh","16,376 kWh"
126,North Macedonia,2001,"13,239 kWh",373 kWh,"8,371 kWh","4,496 kWh",0 kWh,0 kWh,"13,239 kWh",896 kWh,896 kWh
127,Norway,2001,"37,703 kWh","8,698 kWh","2,279 kWh","26,726 kWh",3 kWh,18 kWh,"37,703 kWh","78,600 kWh","78,399 kWh"
128,Oman,2001,"51,864 kWh","35,490 kWh",1 kWh,"16,374 kWh",0 kWh,0 kWh,"51,864 kWh",,
129,Pakistan,2001,"2,718 kWh","1,190 kWh",154 kWh,"1,374 kWh",0 kWh,0 kWh,"2,718 kWh",355 kWh,338 kWh
130,Peru,2001,"3,472 kWh",132 kWh,246 kWh,"3,094 kWh",,0 kWh,"3,472 kWh","1,935 kWh","1,916 kWh"
131,Philippines,2001,"3,145 kWh",17 kWh,659 kWh,"2,469 kWh",0 kWh,0 kWh,"3,145 kWh",632 kWh,262 kWh
132,Poland,2001,"25,921 kWh","3,121 kWh","16,719 kWh","6,080 kWh",0 kWh,1 kWh,"25,921 kWh",214 kWh,177 kWh
133,Portugal,2001,"24,209 kWh","2,483 kWh","3,560 kWh","18,167 kWh",0 kWh,73 kWh,"24,209 kWh","4,491 kWh","3,975 kWh"
134,Qatar,2001,,"154,262 kWh",,"35,726 kWh",0 kWh,0 kWh,,,
135,Romania,2001,"16,787 kWh","7,032 kWh","4,058 kWh","5,697 kWh",0 kWh,0 kWh,"16,787 kWh","2,011 kWh","2,011 kWh"
136,Russia,2001,"43,977 kWh","25,450 kWh","8,205 kWh","10,322 kWh",0 kWh,0 kWh,"43,977 kWh","3,496 kWh","3,494 kWh"
137,Saudi Arabia,2001,"64,400 kWh","23,094 kWh",4 kWh,"41,302 kWh",0 kWh,0 kWh,"64,400 kWh",,
138,Singapore,2001,"121,128 kWh","10,569 kWh",0 kWh,"110,560 kWh",0 kWh,0 kWh,"121,128 kWh",,
139,Slovakia,2001,"29,952 kWh","13,343 kWh","9,567 kWh","7,042 kWh",0 kWh,0 kWh,"29,952 kWh","2,847 kWh","2,692 kWh"
140,Slovenia,2001,"28,243 kWh","4,985 kWh","8,443 kWh","14,815 kWh",0 kWh,0 kWh,"28,243 kWh","5,741 kWh","5,625 kWh"
141,South Africa,2001,"24,452 kWh",293 kWh,"18,443 kWh","5,716 kWh",1 kWh,0 kWh,"24,452 kWh",136 kWh,107 kWh
142,South Korea,2001,"42,002 kWh","4,623 kWh","11,299 kWh","26,081 kWh",0 kWh,1 kWh,"42,002 kWh",153 kWh,145 kWh
143,Spain,2001,"31,044 kWh","4,655 kWh","5,442 kWh","20,948 kWh",2 kWh,485 kWh,"31,044 kWh","3,576 kWh","2,942 kWh"
144,Sri Lanka,2001,,,0 kWh,"2,265 kWh",0 kWh,1 kWh,,485 kWh,484 kWh
145,Sweden,2001,"26,624 kWh","1,025 kWh","3,634 kWh","21,964 kWh",1 kWh,159 kWh,"26,624 kWh","27,622 kWh","26,107 kWh"
146,Switzerland,2001,"26,276 kWh","4,077 kWh",232 kWh,"21,967 kWh",5 kWh,2 kWh,"26,276 kWh","17,198 kWh","16,804 kWh"
147,Taiwan,2001,"41,719 kWh","3,264 kWh","15,358 kWh","23,097 kWh",0 kWh,2 kWh,"41,719 kWh",860 kWh,670 kWh
148,Thailand,2001,"11,977 kWh","3,859 kWh","1,604 kWh","6,515 kWh",0 kWh,0 kWh,"11,977 kWh",316 kWh,285 kWh
149,Trinidad and Tobago,2001,"95,719 kWh","81,388 kWh",0 kWh,"14,331 kWh",2 kWh,0 kWh,"95,719 kWh",,
150,Turkey,2001,"10,974 kWh","2,358 kWh","3,298 kWh","5,317 kWh",0 kWh,3 kWh,"10,974 kWh","1,100 kWh","1,084 kWh"
151,Turkmenistan,2001,,"22,697 kWh",,"9,930 kWh",0 kWh,0 kWh,,2 kWh,2 kWh
152,USSR,2001,,,,,,,,,
153,Ukraine,2001,"27,115 kWh","14,857 kWh","9,015 kWh","3,244 kWh",0 kWh,1 kWh,"27,115 kWh",731 kWh,730 kWh
154,United Arab Emirates,2001,"156,785 kWh","91,115 kWh",62 kWh,"65,607 kWh",0 kWh,0 kWh,"156,785 kWh",,
155,United Kingdom,2001,"40,767 kWh","17,067 kWh","7,658 kWh","16,041 kWh",0 kWh,48 kWh,"40,767 kWh",494 kWh,202 kWh
156,United States,2001,"79,675 kWh","21,041 kWh","21,373 kWh","37,261 kWh",6 kWh,70 kWh,"79,675 kWh","3,106 kWh","2,164 kWh"
157,Uzbekistan,2001,"23,125 kWh","19,430 kWh",365 kWh,"3,329 kWh",0 kWh,0 kWh,"23,125 kWh",700 kWh,700 kWh
158,Venezuela,2001,"27,035 kWh","13,203 kWh",23 kWh,"13,809 kWh",0 kWh,0 kWh,"27,035 kWh","7,137 kWh","7,137 kWh"
159,Vietnam,2001,"2,362 kWh",242 kWh,747 kWh,"1,374 kWh",0 kWh,0 kWh,"2,362 kWh",670 kWh,670 kWh
160,Algeria,2002,"10,175 kWh","6,161 kWh",270 kWh,"3,744 kWh",0 kWh,0 kWh,"10,175 kWh",5 kWh,5 kWh
161,Argentina,2002,"14,038 kWh","7,770 kWh",121 kWh,"6,147 kWh",0 kWh,6 kWh,"14,038 kWh","2,807 kWh","2,757 kWh"
162,Australia,2002,"66,184 kWh","11,714 kWh","30,749 kWh","23,720 kWh",9 kWh,80 kWh,"66,184 kWh","2,708 kWh","2,412 kWh"
163,Austria,2002,"35,015 kWh","10,086 kWh","5,518 kWh","19,411 kWh",3 kWh,73 kWh,"35,015 kWh","15,240 kWh","14,533 kWh"
164,Azerbaijan,2002,"14,299 kWh","9,077 kWh",3 kWh,"5,219 kWh",0 kWh,0 kWh,"14,299 kWh",704 kWh,704 kWh
165,Bangladesh,2002,"1,147 kWh",796 kWh,32 kWh,320 kWh,0 kWh,0 kWh,"1,147 kWh",16 kWh,16 kWh
166,Belarus,2002,"25,302 kWh","15,335 kWh",773 kWh,"9,193 kWh",0 kWh,0 kWh,"25,302 kWh",8 kWh,8 kWh
167,Belgium,2002,"57,680 kWh","15,289 kWh","6,993 kWh","35,398 kWh",0 kWh,16 kWh,"57,680 kWh",340 kWh,101 kWh
168,Brazil,2002,"7,575 kWh",804 kWh,798 kWh,"5,973 kWh",0 kWh,1 kWh,"7,575 kWh","5,232 kWh","4,627 kWh"
169,Bulgaria,2002,"19,439 kWh","3,184 kWh","9,634 kWh","6,621 kWh",0 kWh,0 kWh,"19,439 kWh",803 kWh,803 kWh
170,Canada,2002,"77,548 kWh","27,925 kWh","11,853 kWh","37,770 kWh",2 kWh,38 kWh,"77,548 kWh","33,661 kWh","32,548 kWh"
171,Chile,2002,"15,765 kWh","5,109 kWh","1,883 kWh","8,774 kWh",0 kWh,1 kWh,"15,765 kWh","4,676 kWh","4,312 kWh"
172,China,2002,"9,881 kWh",230 kWh,"7,391 kWh","2,261 kWh",0 kWh,2 kWh,"9,881 kWh",666 kWh,656 kWh
173,Colombia,2002,"5,345 kWh","1,483 kWh",629 kWh,"3,232 kWh",0 kWh,0 kWh,"5,345 kWh","2,490 kWh","2,451 kWh"
174,Croatia,2002,"18,859 kWh","6,149 kWh","1,515 kWh","11,194 kWh",0 kWh,0 kWh,"18,859 kWh","3,810 kWh","3,810 kWh"
175,Cyprus,2002,,,521 kWh,"30,212 kWh",0 kWh,0 kWh,,,
176,Czechia,2002,"41,478 kWh","8,817 kWh","23,210 kWh","9,450 kWh",0 kWh,0 kWh,"41,478 kWh",940 kWh,710 kWh
177,Denmark,2002,"40,237 kWh","10,006 kWh","9,087 kWh","21,145 kWh",1 kWh,"2,647 kWh","40,237 kWh","3,780 kWh",17 kWh
178,Ecuador,2002,"6,285 kWh",101 kWh,2 kWh,"6,182 kWh",0 kWh,0 kWh,"6,285 kWh","1,680 kWh","1,680 kWh"
179,Egypt,2002,"7,645 kWh","3,429 kWh",128 kWh,"4,089 kWh",0 kWh,8 kWh,"7,645 kWh",557 kWh,549 kWh
180,Estonia,2002,"41,689 kWh","5,023 kWh","24,149 kWh","12,516 kWh",0 kWh,3 kWh,"41,689 kWh",77 kWh,12 kWh
181,Finland,2002,"47,297 kWh","8,164 kWh","14,727 kWh","24,406 kWh",1 kWh,36 kWh,"47,297 kWh","11,604 kWh","6,048 kWh"
182,France,2002,"28,591 kWh","7,342 kWh","2,503 kWh","18,746 kWh",0 kWh,13 kWh,"28,591 kWh","3,238 kWh","2,969 kWh"
183,Germany,2002,"41,846 kWh","10,721 kWh","12,243 kWh","18,882 kWh",7 kWh,566 kWh,"41,846 kWh","1,743 kWh",849 kWh
184,Greece,2002,"32,974 kWh","1,875 kWh","9,405 kWh","21,694 kWh",0 kWh,171 kWh,"32,974 kWh",944 kWh,737 kWh
185,Hong Kong,2002,"35,544 kWh","3,939 kWh","9,051 kWh","22,554 kWh",0 kWh,0 kWh,"35,544 kWh",,
186,Hungary,2002,"23,760 kWh","12,389 kWh","4,064 kWh","7,307 kWh",0 kWh,0 kWh,"23,760 kWh",69 kWh,56 kWh
