Country,Year,Fossil fuels (TWh),Coal (TWh),Oil (TWh),Gas (TWh),Renewables (TWh),Hydropower (TWh),Solar (TWh),Wind (TWh)
Switzerland,2000,178.0,1.6,148.29,28.3,112.0,109.0,0.0,0.0
Taiwan,2000,893.0,326.86,498.69,67.67,17.0,13.0,0.0,0.0
Thailand,2000,723.0,91.7,419.2,211.95,19.0,17.0,0.0,0.0
Trinidad and Tobago,2000,119.0,0.0,20.64,98.13,184.7,123.4,0.0,0.0
Turkey,2000,773.0,261.22,371.84,139.47,92.0,91.0,0.0,0.0
Turkmenistan,2000,1570.7,511.6,48.2,71.61,0.0,0.0,0.0,0.0
Ukraine,2000,1333.0,448.28,142.38,741.99,33.0,33.0,0.0,0.0
United Arab Emirates,2000,1570.7,511.6,229.34,306.44,0.0,0.0,0.0,0.0
United Kingdom,2000,2393.0,427.15,952.31,1013.42,30.0,15.0,0.0,3.0
United States,2000,23225.0,6286.54,10654.13,6283.91,1069.0,807.0,2.0,17.0
Uzbekistan,2000,582.0,11.0,84.42,486.74,17.0,17.0,0.0,0.0
Venezuela,2000,632.0,1.54,320.87,309.96,186.0,186.0,0.0,0.0
Vietnam,2000,171.0,54.54,101.15,15.44,43.0,43.0,0.0,0.0
Algeria,2001,311.0,6.51,106.78,197.32,0.0,0.0,0.0,0.0
Argentina,2001,554.0,6.16,245.35,302.35,109.0,107.0,0.0,0.0
Australia,2001,1264.0,585.69,457.09,221.69,51.0,47.0,0.0,1.0
Austria,2001,280.0,43.88,153.69,82.88,125.0,119.0,0.0,1.0
Azerbaijan,2001,123.0,0.03,47.59,75.78,4.0,4.0,0.0,0.0
Bangladesh,2001,153.0,4.07,47.17,101.43,3.0,3.0,0.0,0.0
Belarus,2001,248.0,8.31,88.5,151.07,0.0,0.0,0.0,0.0
Belgium,2001,603.0,84.47,365.04,153.38,3.0,1.0,0.0,0.0
Brazil,2001,1371.0,148.79,1099.67,122.86,886.0,787.0,0.0,0.0
Bulgaria,2001,165.0,83.43,52.53,28.64,5.0,5.0,0.0,0.0
Canada,2001,2350.0,369.12,1140.46,840.42,1007.0,974.0,0.0,1.0
Chile,2001,244.0,29.31,135.44,79.5,69.0,64.0,0.0,0.0
China,2001,11595.0,8635.75,2683.25,276.46,825.0,815.0,0.0,2.0
Colombia,2001,222.0,30.96,132.0,59.39,95.0,93.0,0.0,0.0
Croatia,2001,80.0,5.59,47.91,26.93,21.0,21.0,0.0,0.0
Cyprus,2001,1570.7,0.62,29.99,411.3,184.7,123.4,0.0,0.0
Czechia,2001,435.0,242.13,99.92,93.41,8.0,6.0,0.0,0.0
Denmark,2001,220.0,48.82,117.53,53.31,18.0,0.0,0.0,13.0
Ecuador,2001,85.0,0.02,81.36,3.33,21.0,21.0,0.0,0.0
Egypt,2001,550.0,8.89,305.73,235.81,43.0,42.0,0.0,1.0
Estonia,2001,58.0,34.07,15.42,8.26,0.0,0.0,0.0,0.0
Finland,2001,237.0,70.49,124.04,42.76,65.0,39.0,0.0,0.0
France,2001,1725.0,144.19,1144.57,436.68,233.0,218.0,0.0,0.0
Germany,2001,3460.0,994.94,1590.96,874.48,119.0,68.0,0.0,31.0
Greece,2001,367.0,108.48,239.57,19.34,9.0,6.0,0.0,2.0
Hong Kong,2001,249.0,79.69,141.34,28.4,184.7,123.4,0.0,0.0
Hungary,2001,247.0,42.75,79.73,124.56,1.0,1.0,0.0,0.0
Iceland,2001,1570.7,1.19,9.01,411.3,23.0,19.0,0.0,0.0
India,2001,3466.0,1926.95,1285.02,254.28,224.0,212.0,0.0,6.0
Indonesia,2001,1195.0,194.33,659.39,341.35,51.0,34.0,0.0,0.0
Iran,2001,1480.0,14.86,799.74,665.33,12.0,12.0,0.0,0.0
Iraq,2001,1570.7,511.6,323.35,26.22,11.0,11.0,0.0,0.0
Ireland,2001,180.0,31.86,106.5,41.76,3.0,2.0,0.0,1.0
Israel,2001,227.0,83.97,143.09,0.1,0.0,0.0,0.0,0.0
Italy,2001,1938.0,154.7,1102.6,680.65,160.0,138.0,0.0,3.0
Japan,2001,4988.0,1137.15,3073.68,777.28,292.0,240.0,1.0,1.0
Kazakhstan,2001,392.0,259.35,92.17,40.93,24.0,24.0,0.0,0.0
Kuwait,2001,214.0,0.0,124.05,90.25,184.7,123.4,0.0,0.0
Latvia,2001,32.0,1.43,17.65,13.24,8.0,8.0,0.0,0.0
Lithuania,2001,58.0,0.97,32.33,24.97,1.0,1.0,0.0,0.0
Luxembourg,2001,39.0,1.38,29.31,8.68,0.0,0.0,0.0,0.0
Malaysia,2001,606.0,34.53,294.54,277.1,20.0,18.0,0.0,0.0
Mexico,2001,1553.0,83.67,1107.01,361.91,102.0,84.0,0.0,0.0
Morocco,2001,124.0,39.69,83.64,0.44,3.0,3.0,0.0,1.0
Netherlands,2001,1024.0,96.11,509.72,418.19,10.0,0.0,0.0,2.0
New Zealand,2001,153.0,15.93,75.24,61.99,74.0,64.0,0.0,0.0
North Macedonia,2001,27.0,17.19,9.23,0.77,2.0,2.0,0.0,0.0
Norway,2001,170.0,10.29,120.64,39.26,355.0,354.0,0.0,0.0
Oman,2001,123.0,0.0,38.88,84.28,184.7,123.4,0.0,0.0
Pakistan,2001,433.0,24.48,218.72,189.54,57.0,54.0,0.0,0.0
Peru,2001,94.0,6.65,83.6,3.56,52.0,52.0,8.9,0.0
Philippines,2001,250.0,52.45,196.63,1.34,50.0,21.0,0.0,0.0
Poland,2001,1002.0,646.41,235.08,120.68,8.0,7.0,0.0,0.0
Portugal,2001,251.0,36.92,188.42,25.75,47.0,41.0,0.0,1.0
Qatar,2001,1570.7,511.6,24.25,104.72,184.7,123.4,0.0,0.0
Romania,2001,366.0,88.46,124.17,153.28,44.0,44.0,0.0,0.0
Russia,2001,6431.0,1199.91,1509.42,3721.69,511.0,511.0,0.0,0.0
Saudi Arabia,2001,1422.0,0.09,912.19,510.06,184.7,123.4,0.0,0.0
Singapore,2001,499.0,0.0,455.65,43.56,184.7,123.4,0.0,0.0
Slovakia,2001,161.0,51.44,37.86,71.74,15.0,14.0,0.0,0.0
Slovenia,2001,56.0,16.74,29.37,9.88,11.0,11.0,0.0,0.0
South Africa,2001,1155.0,871.07,269.98,13.83,6.0,5.0,0.0,0.0
South Korea,2001,1977.0,531.77,1227.48,217.58,7.0,7.0,0.0,0.0
Spain,2001,1272.0,222.92,858.15,190.69,146.0,121.0,0.0,20.0
Sri Lanka,2001,1570.7,0.0,42.86,411.3,9.0,9.0,0.0,0.0
Sweden,2001,237.0,32.33,195.41,9.12,246.0,232.0,0.0,1.0
Switzerland,2001,190.0,1.68,158.7,29.46,124.0,121.0,0.0,0.0
Taiwan,2001,932.0,343.0,515.83,72.89,19.0,15.0,0.0,0.0
Thailand,2001,762.0,102.08,414.67,245.61,20.0,18.0,0.0,0.0
Trinidad and Tobago,2001,128.0,0.0,19.18,108.94,184.7,123.4,0.0,0.0
Turkey,2001,714.0,214.61,346.0,153.46,72.0,71.0,0.0,0.0
Turkmenistan,2001,1570.7,511.6,46.03,105.2,0.0,0.0,0.0,0.0
Ukraine,2001,1313.0,436.45,157.05,719.27,35.0,35.0,0.0,0.0
United Arab Emirates,2001,542.0,0.22,226.62,314.73,184.7,123.4,0.0,0.0
United Kingdom,2001,2409.0,452.55,947.92,1008.53,29.0,12.0,0.0,3.0
United States,2001,22745.0,6101.32,10636.85,6006.58,887.0,618.0,2.0,20.0
Uzbekistan,2001,584.0,9.22,84.05,490.59,18.0,18.0,0.0,0.0
Venezuela,2001,673.0,0.57,343.58,328.48,178.0,178.0,0.0,0.0
Vietnam,2001,189.0,59.6,109.65,19.3,53.0,53.0,0.0,0.0
Algeria,2002,322.0,8.55,118.4,194.84,0.0,0.0,0.0,0.0
Argentina,2002,532.0,4.59,232.87,294.38,106.0,104.0,0.0,0.0
Australia,2002,1289.0,598.87,461.97,228.15,53.0,47.0,0.0,2.0
Austria,2002,283.0,44.58,156.82,81.49,123.0,117.0,0.0,1.0
Azerbaijan,2002,120.0,0.02,43.7,75.99,6.0,6.0,0.0,0.0
Bangladesh,2002,154.0,4.25,42.88,106.71,2.0,2.0,0.0,0.0
Belarus,2002,256.0,7.84,93.18,155.43,0.0,0.0,0.0,0.0
Belgium,2002,597.0,72.42,366.56,158.33,4.0,1.0,0.0,0.0
Brazil,2002,1367.0,144.01,1077.9,145.16,944.0,835.0,0.0,0.0
Bulgaria,2002,155.0,76.83,52.8,25.39,6.0,6.0,0.0,0.0
Canada,2002,2429.0,371.27,1183.05,874.67,1054.0,1019.0,0.0,1.0
Chile,2002,247.0,29.55,137.69,80.18,73.0,68.0,0.0,0.0
China,2002,12657.0,9467.46,2895.6,294.14,853.0,841.0,0.0,2.0
Colombia,2002,216.0,25.46,130.76,59.99,101.0,99.0,0.0,0.0
Croatia,2002,85.0,6.79,50.18,27.57,17.0,17.0,0.0,0.0
Cyprus,2002,1570.7,0.51,29.67,411.3,184.7,123.4,0.0,0.0
Czechia,2002,425.0,237.63,96.75,90.27,10.0,7.0,0.0,0.0
Denmark,2002,216.0,48.87,113.73,53.82,20.0,0.0,0.0,14.0
Ecuador,2002,82.0,0.02,80.8,1.32,22.0,22.0,0.0,0.0
Egypt,2002,569.0,9.54,304.17,255.06,41.0,41.0,0.0,1.0
Estonia,2002,57.0,33.31,17.26,6.93,0.0,0.0,0.0,0.0
Finland,2002,246.0,76.59,126.92,42.46,60.0,31.0,0.0,0.0
France,2002,1698.0,148.61,1112.98,435.94,192.0,176.0,0.0,1.0
Germany,2002,3408.0,997.15,1537.78,873.13,142.0,69.0,1.0,46.0
Greece,2002,366.0,104.37,240.72,20.81,10.0,8.0,0.0,2.0
Hong Kong,2002,243.0,61.99,154.47,26.98,184.7,123.4,0.0,0.0
Hungary,2002,241.0,41.25,74.15,125.73,1.0,1.0,0.0,0.0
Iceland,2002,1570.7,1.19,9.37,411.3,24.0,20.0,0.0,0.0
India,2002,3590.0,2012.79,1311.63,265.54,222.0,200.0,0.0,6.0
Indonesia,2002,1233.0,200.46,661.41,371.03,47.0,29.0,0.0,0.0
Iran,2002,1603.0,14.08,806.61,782.2,23.0,23.0,0.0,0.0
Iraq,2002,1570.7,511.6,306.87,22.42,13.0,13.0,0.0,0.0
Ireland,2002,177.0,30.63,103.8,42.87,4.0,3.0,0.0,1.0
Israel,2002,232.0,88.76,142.73,0.09,0.0,0.0,0.0,0.0
Italy,2002,1942.0,159.68,1106.43,676.03,141.0,115.0,0.0,4.0
Japan,2002,5021.0,1207.91,3052.66,760.46,291.0,235.0,2.0,1.0
Kazakhstan,2002,398.0,262.75,94.17,41.08,26.0,26.0,0.0,0.0
Kuwait,2002,227.0,0.0,144.08,82.74,184.7,123.4,0.0,0.0
Latvia,2002,34.0,1.15,17.53,15.09,7.0,7.0,0.0,0.0
Lithuania,2002,57.0,1.57,29.93,25.24,1.0,1.0,0.0,0.0
Luxembourg,2002,43.0,0.86,29.87,12.41,0.0,0.0,0.0,0.0
Malaysia,2002,642.0,42.33,318.86,280.89,17.0,16.0,0.0,0.0
Mexico,2002,1602.0,140.11,1051.18,410.69,91.0,73.0,0.0,0.0
Morocco,2002,127.0,39.47,87.04,0.56,3.0,2.0,0.0,1.0
Netherlands,2002,1023.0,96.67,512.05,413.97,12.0,0.0,0.0,3.0
New Zealand,2002,153.0,15.92,77.48,59.18,83.0,73.0,0.0,0.0
North Macedonia,2002,26.0,14.94,10.42,0.79,2.0,2.0,0.0,0.0
Norway,2002,168.0,8.92,116.79,41.9,379.0,378.0,0.0,0.0
Oman,2002,133.0,0.0,44.71,88.28,184.7,123.4,0.0,0.0
Pakistan,2002,446.0,27.45,213.2,205.49,63.0,60.0,0.0,0.0
Peru,2002,96.0,9.1,82.8,4.25,53.0,53.0,8.9,0.0
Philippines,2002,253.0,49.16,186.93,16.87,49.0,21.0,0.0,0.0
Poland,2002,991.0,634.17,239.6,117.62,8.0,7.0,0.0,0.0
Portugal,2002,267.0,40.7,194.59,31.32,29.0,23.0,0.0,1.0
Qatar,2002,1570.7,511.6,27.49,114.54,184.7,123.4,0.0,0.0
Romania,2002,379.0,95.27,125.25,158.5,47.0,47.0,0.0,0.0
Russia,2002,6428.0,1204.94,1456.21,3766.75,474.0,473.0,0.0,0.0
Saudi Arabia,2002,1481.0,0.14,942.59,538.65,184.7,123.4,0.0,0.0
Singapore,2002,481.0,0.08,433.58,47.08,184.7,123.4,0.0,0.0
Slovakia,2002,160.0,49.82,42.19,68.24,16.0,15.0,0.0,0.0
Slovenia,2002,56.0,18.23,28.53,9.53,10.0,10.0,0.0,0.0
South Africa,2002,1119.0,828.6,276.94,13.92,8.0,6.0,0.0,0.0
South Korea,2002,2062.0,571.39,1249.26,241.78,10.0,9.0,0.0,0.0
Spain,2002,1334.0,251.18,865.24,218.03,104.0,67.0,0.0,27.0
Sri Lanka,2002,1570.7,0.13,45.49,411.3,8.0,8.0,0.0,0.0
Sweden,2002,242.0,34.72,198.44,9.28,209.0,194.0,0.0,2.0
Switzerland,2002,181.0,1.54,150.42,28.91,106.0,103.0,0.0,0.0
Taiwan,2002,973.0,371.89,519.32,81.53,13.0,8.0,0.0,0.0
Thailand,2002,824.0,108.94,448.52,266.89,24.0,22.0,0.0,0.0
Trinidad and Tobago,2002,139.0,0.0,21.75,117.31,184.7,123.4,0.0,0.0
Turkey,2002,760.0,224.14,369.93,166.39,99.0,98.0,0.0,0.0
Turkmenistan,2002,1570.7,511.6,52.58,74.98,0.0,0.0,0.0,0.0
Ukraine,2002,1307.0,439.2,159.52,707.92,28.0,28.0,0.0,0.0
United Arab Emirates,2002,592.0,1.1,235.31,355.29,184.7,123.4,0.0,0.0
United Kingdom,2002,2351.0,415.31,940.81,995.34,34.0,14.0,0.0,4.0
United States,2002,22942.0,6098.45,10642.41,6201.11,1056.0,754.0,2.0,31.0
Uzbekistan,2002,599.0,9.82,83.65,505.22,18.0,18.0,0.0,0.0
Venezuela,2002,686.0,0.21,370.7,315.41,174.0,174.0,0.0,0.0
Vietnam,2002,212.0,68.06,120.42,23.16,53.0,53.0,0.0,0.0
Algeria,2003,336.0,7.05,123.17,205.93,1.0,1.0,0.0,0.0
Argentina,2003,579.0,5.59,237.5,336.29,101.0,98.0,0.0,0.0
Australia,2003,1306.0,616.02,460.26,229.94,55.0,47.0,0.0,2.0
Austria,2003,307.0,47.55,169.94,89.63,103.0,96.0,0.0,1.0
Azerbaijan,2003,129.0,0.03,50.91,77.92,7.0,7.0,0.0,0.0
Bangladesh,2003,163.0,4.06,43.89,114.78,2.0,2.0,0.0,0.0
Belarus,2003,255.0,7.38,94.32,152.81,0.0,0.0,0.0,0.0
Belgium,2003,626.0,70.05,387.42,168.67,4.0,1.0,0.0,0.0
Brazil,2003,1360.0,149.42,1048.22,162.47,997.0,886.0,0.0,0.0
Bulgaria,2003,169.0,86.02,55.73,26.83,9.0,9.0,0.0,0.0
Canada,2003,2495.0,370.36,1227.19,897.85,1009.0,975.0,0.0,2.0
Chile,2003,252.0,28.25,136.52,86.74,71.0,66.0,0.0,0.0
China,2003,14860.0,11283.06,3234.76,341.75,839.0,823.0,0.0,3.0
Colombia,2003,216.0,28.22,130.62,57.5,107.0,105.0,0.0,0.0
Croatia,2003,90.0,7.56,55.53,27.4,16.0,16.0,0.0,0.0
Cyprus,2003,1570.7,0.51,31.58,411.3,184.7,123.4,0.0,0.0
Czechia,2003,436.0,241.52,103.53,91.2,6.0,4.0,0.0,0.0
Denmark,2003,231.0,66.68,109.99,54.41,24.0,0.0,0.0,16.0
Ecuador,2003,86.0,0.88,82.59,2.31,21.0,21.0,0.0,0.0
Egypt,2003,608.0,9.89,311.88,285.86,38.0,38.0,0.0,1.0
Estonia,2003,63.0,38.57,16.2,7.91,0.0,0.0,0.0,0.0
Finland,2003,274.0,95.59,131.0,47.0,58.0,28.0,0.0,0.0
France,2003,1730.0,157.98,1114.92,457.27,188.0,171.0,0.0,1.0
Germany,2003,3405.0,1013.62,1507.72,883.72,146.0,53.0,1.0,55.0
Greece,2003,381.0,104.93,252.75,23.52,17.0,14.0,0.0,3.0
Hong Kong,2003,251.0,78.62,155.44,17.35,184.7,123.4,0.0,0.0
Hungary,2003,253.0,42.21,72.27,138.23,1.0,0.0,0.0,0.0
Iceland,2003,1570.7,1.17,9.47,411.3,24.0,21.0,0.0,0.0
India,2003,3728.0,2107.98,1336.15,284.27,225.0,201.0,0.0,8.0
Indonesia,2003,1344.0,269.09,679.26,395.58,45.0,26.0,0.0,0.0
Iran,2003,1628.0,15.26,810.28,802.77,28.0,28.0,0.0,0.0
Iraq,2003,1570.7,511.6,275.46,14.82,14.0,14.0,0.0,0.0
Ireland,2003,174.0,29.65,101.32,42.55,3.0,2.0,0.0,1.0
Israel,2003,239.0,91.99,146.53,0.08,0.0,0.0,0.0,0.0
Italy,2003,2014.0,172.3,1095.88,745.33,136.0,106.0,0.0,4.0
Japan,2003,5201.0,1241.26,3124.68,834.98,329.0,268.0,3.0,2.0
Kazakhstan,2003,440.0,290.11,102.73,46.83,25.0,25.0,0.0,0.0
Kuwait,2003,271.0,0.0,176.09,95.0,184.7,123.4,0.0,0.0
Latvia,2003,34.0,1.03,17.69,15.01,7.0,7.0,0.0,0.0
Lithuania,2003,58.0,2.03,28.67,27.38,1.0,1.0,0.0,0.0
Luxembourg,2003,45.0,0.66,32.07,12.56,0.0,0.0,0.0,0.0
Malaysia,2003,698.0,61.78,333.62,302.66,16.0,15.0,0.0,0.0
Mexico,2003,1634.0,103.32,1085.19,445.09,78.0,58.0,0.0,0.0
Morocco,2003,126.0,38.06,87.08,0.54,5.0,4.0,0.0,1.0
Netherlands,2003,1030.0,100.0,512.81,416.83,12.0,0.0,0.0,4.0
