Country,Year,Fossil fuels (TWh),Coal (TWh),Oil (TWh),Gas (TWh),Renewables (TWh),Hydropower (TWh),Solar (TWh),Wind (TWh)
Egypt,2004,644.0,10.11,328.4,305.11,38.0,37.0,0.0,1.0
Estonia,2004,64.0,38.46,16.44,9.01,0.0,0.0,0.0,0.0
Finland,2004,253.0,85.88,122.12,45.28,77.0,43.0,0.0,0.0
France,2004,1742.0,150.39,1124.85,466.93,189.0,172.0,0.0,2.0
Germany,2004,3367.0,988.11,1490.49,888.21,181.0,60.0,2.0,75.0
Greece,2004,381.0,107.56,247.73,25.85,17.0,13.0,0.0,3.0
Hong Kong,2004,282.0,73.41,183.06,25.06,184.7,123.4,0.0,0.0
Hungary,2004,253.0,40.02,76.82,136.21,3.0,1.0,0.0,0.0
Iceland,2004,1570.7,1.22,9.91,411.3,25.0,21.0,0.0,0.0
India,2004,3964.0,2243.53,1414.22,306.69,324.0,290.0,0.0,15.0
Indonesia,2004,1328.0,247.38,718.92,362.02,47.0,28.0,0.0,0.0
Iran,2004,1797.0,15.97,848.91,932.56,35.0,34.0,0.0,0.0
Iraq,2004,1570.7,511.6,299.97,9.5,17.0,17.0,0.0,0.0
Ireland,2004,176.0,27.7,106.12,42.48,4.0,2.0,0.0,2.0
Israel,2004,243.0,92.87,139.09,11.39,0.0,0.0,0.0,0.0
Italy,2004,2039.0,193.01,1072.42,773.42,159.0,122.0,0.0,5.0
Japan,2004,5123.0,1274.1,3042.73,806.04,328.0,264.0,4.0,4.0
Kazakhstan,2004,471.0,309.25,108.98,52.35,23.0,23.0,0.0,0.0
Kuwait,2004,303.0,0.0,199.29,103.55,184.7,123.4,0.0,0.0
Latvia,2004,36.0,0.78,18.99,16.56,9.0,9.0,0.0,0.0
Lithuania,2004,60.0,1.96,30.59,27.31,1.0,1.0,0.0,0.0
Luxembourg,2004,51.0,0.92,36.37,13.91,1.0,0.0,0.0,0.0
Malaysia,2004,754.0,77.08,349.72,326.94,18.0,16.0,0.0,0.0
Mexico,2004,1724.0,105.72,1137.85,480.22,94.0,73.0,0.0,0.0
Morocco,2004,143.0,42.1,100.62,0.69,5.0,5.0,0.0,1.0
Netherlands,2004,1062.0,98.61,536.42,426.78,16.0,0.0,0.0,5.0
New Zealand,2004,145.0,23.74,81.03,40.72,89.0,78.0,0.0,1.0
North Macedonia,2004,27.0,16.35,10.28,0.68,4.0,4.0,0.0,0.0
Norway,2004,176.0,9.84,117.99,47.74,315.0,313.0,0.0,1.0
Oman,2004,128.0,0.01,41.73,86.43,184.7,123.4,0.0,0.0
Pakistan,2004,537.0,39.28,191.36,306.77,79.0,76.0,0.0,0.0
Peru,2004,106.0,10.56,87.45,8.28,51.0,51.0,8.9,0.0
Philippines,2004,266.0,52.71,189.48,23.74,53.0,25.0,0.0,0.0
Poland,2004,1032.0,633.71,260.06,138.17,9.0,6.0,0.0,0.0
Portugal,2004,262.0,38.55,185.17,37.83,36.0,28.0,0.0,2.0
Qatar,2004,1570.7,511.6,39.75,157.12,184.7,123.4,0.0,0.0
Romania,2004,394.0,104.84,127.45,162.09,48.0,48.0,0.0,0.0
Russia,2004,6606.0,1161.75,1488.48,3956.19,508.0,506.0,0.0,0.0
Saudi Arabia,2004,1702.0,0.16,1078.32,623.96,184.7,123.4,0.0,0.0
Singapore,2004,508.0,0.08,445.82,61.87,184.7,123.4,0.0,0.0
Slovakia,2004,156.0,52.96,39.15,63.95,12.0,12.0,0.0,0.0
Slovenia,2004,58.0,17.59,29.86,10.45,12.0,12.0,0.0,0.0
South Africa,2004,1331.0,1009.11,297.69,24.34,5.0,3.0,0.0,0.0
South Korea,2004,2166.0,618.7,1250.87,296.75,14.0,12.0,0.0,0.0
Spain,2004,1444.0,244.8,906.61,292.69,149.0,91.0,0.0,45.0
Sri Lanka,2004,1570.7,0.18,44.75,411.3,9.0,9.0,0.0,0.0
Sweden,2004,248.0,35.02,203.59,9.21,200.0,175.0,0.0,2.0
Switzerland,2004,179.0,1.51,145.68,31.52,100.0,97.0,0.0,0.0
Taiwan,2004,1070.0,412.38,555.38,102.36,15.0,9.0,0.0,0.0
Thailand,2004,967.0,124.67,545.1,297.55,23.0,17.0,0.0,0.0
Trinidad and Tobago,2004,171.0,0.0,22.76,148.71,184.7,123.4,0.0,0.0
Turkey,2004,841.0,256.86,372.77,211.68,133.0,133.0,0.0,0.0
Turkmenistan,2004,1570.7,511.6,59.86,114.54,0.0,0.0,0.0,0.0
Ukraine,2004,1311.0,428.85,165.99,716.43,34.0,34.0,0.0,0.0
United Arab Emirates,2004,675.0,1.46,281.56,392.05,184.7,123.4,0.0,0.0
United Kingdom,2004,2427.0,432.51,974.37,1019.88,43.0,14.0,0.0,6.0
United States,2004,23499.0,6254.98,11197.87,6046.28,1103.0,757.0,2.0,41.0
Uzbekistan,2004,545.0,10.35,74.44,460.17,19.0,19.0,0.0,0.0
Venezuela,2004,671.0,0.0,355.79,315.3,202.0,202.0,0.0,0.0
Vietnam,2004,296.0,103.84,152.44,40.14,51.0,51.0,0.0,0.0
Algeria,2005,365.0,6.91,134.21,223.56,2.0,2.0,0.0,0.0
Argentina,2005,671.0,10.96,266.66,392.89,101.0,98.0,0.0,0.0
Australia,2005,1350.0,638.22,478.7,232.59,61.0,44.0,0.0,4.0
Austria,2005,307.0,46.73,164.63,95.28,119.0,106.0,0.0,4.0
Azerbaijan,2005,158.0,0.04,63.8,94.38,9.0,9.0,0.0,0.0
Bangladesh,2005,187.0,8.35,46.51,132.63,2.0,2.0,0.0,0.0
Belarus,2005,284.0,7.98,86.04,190.03,0.0,0.0,0.0,0.0
Belgium,2005,619.0,59.87,389.99,168.93,7.0,1.0,0.0,1.0
Brazil,2005,1454.0,151.08,1101.68,201.27,1095.0,966.0,0.0,0.0
Bulgaria,2005,173.0,80.51,59.34,32.66,12.0,12.0,0.0,0.0
Canada,2005,2470.0,348.35,1245.67,875.92,1072.0,1036.0,0.0,4.0
Chile,2005,278.0,32.07,155.21,91.08,79.0,73.0,0.0,0.0
China,2005,19713.0,15405.1,3838.49,469.75,1168.0,1137.0,0.0,6.0
Colombia,2005,220.0,15.56,140.03,64.46,114.0,112.0,0.0,0.0
Croatia,2005,89.0,7.95,53.63,27.48,20.0,20.0,0.0,0.0
Cyprus,2005,1570.7,0.51,34.48,411.3,184.7,123.4,0.0,0.0
Czechia,2005,442.0,233.7,119.16,89.59,9.0,7.0,0.0,0.0
Denmark,2005,198.0,43.05,103.4,52.01,29.0,0.0,0.0,19.0
Ecuador,2005,101.0,0.02,95.14,5.52,20.0,20.0,0.0,0.0
Egypt,2005,662.0,9.89,347.7,304.15,38.0,36.0,0.0,1.0
Estonia,2005,64.0,38.09,16.75,9.3,0.0,0.0,0.0,0.0
Finland,2005,223.0,55.17,126.68,41.43,70.0,39.0,0.0,0.0
France,2005,1743.0,156.18,1109.28,477.13,169.0,147.0,0.0,3.0
Germany,2005,3308.0,945.39,1460.06,902.81,206.0,56.0,4.0,80.0
Greece,2005,381.0,106.1,249.09,26.03,18.0,14.0,0.0,4.0
Hong Kong,2005,270.0,79.86,165.11,25.12,184.7,123.4,0.0,0.0
Hungary,2005,264.0,35.59,87.89,140.65,6.0,1.0,0.0,0.0
Iceland,2005,1570.7,1.17,10.09,411.3,25.0,20.0,0.0,0.0
India,2005,4238.0,2456.11,1438.14,343.26,317.0,279.0,0.0,17.0
Indonesia,2005,1366.0,283.75,717.89,363.94,50.0,31.0,0.0,0.0
Iran,2005,1899.0,18.1,910.15,970.47,42.0,41.0,0.0,0.0
Iraq,2005,1570.7,511.6,280.53,13.78,14.0,14.0,0.0,0.0
Ireland,2005,183.0,30.78,111.54,40.44,5.0,2.0,0.0,3.0
Israel,2005,244.0,92.34,136.45,15.7,0.0,0.0,0.0,0.0
Italy,2005,2059.0,191.53,1039.47,827.7,142.0,103.0,0.0,7.0
Japan,2005,5158.0,1334.81,2995.74,827.28,300.0,222.0,5.0,5.0
Kazakhstan,2005,485.0,312.67,111.75,60.59,22.0,22.0,0.0,0.0
Kuwait,2005,334.0,0.0,217.24,116.85,184.7,123.4,0.0,0.0
Latvia,2005,37.0,0.94,20.1,16.09,10.0,10.0,0.0,0.0
Lithuania,2005,64.0,2.15,33.13,28.81,1.0,1.0,0.0,0.0
Luxembourg,2005,52.0,0.9,37.36,13.68,1.0,0.0,0.0,0.0
Malaysia,2005,816.0,80.07,362.19,373.73,19.0,17.0,0.0,0.0
Mexico,2005,1887.0,133.43,1226.25,527.12,103.0,79.0,0.0,0.0
Morocco,2005,158.0,44.15,109.33,4.5,3.0,3.0,0.0,1.0
Netherlands,2005,1078.0,94.17,569.42,414.56,23.0,0.0,0.0,6.0
New Zealand,2005,149.0,26.43,85.44,37.58,79.0,67.0,0.0,2.0
North Macedonia,2005,28.0,16.97,10.69,0.73,4.0,4.0,0.0,0.0
Norway,2005,170.0,8.4,117.61,43.7,391.0,389.0,0.0,1.0
Oman,2005,155.0,0.0,47.22,107.78,184.7,123.4,0.0,0.0
Pakistan,2005,552.0,43.61,181.89,326.1,88.0,88.0,0.0,0.0
Peru,2005,111.0,10.72,85.75,14.6,53.0,51.0,8.9,0.0
Philippines,2005,269.0,61.84,175.74,31.44,51.0,24.0,0.0,0.0
Poland,2005,1052.0,641.02,268.95,142.29,12.0,6.0,0.0,0.0
Portugal,2005,273.0,38.8,191.18,42.88,24.0,14.0,0.0,5.0
Qatar,2005,223.0,0.0,43.94,178.93,184.7,123.4,0.0,0.0
Romania,2005,385.0,99.98,123.24,161.93,58.0,58.0,0.0,0.0
Russia,2005,6598.0,1099.9,1493.82,4004.01,496.0,494.0,0.0,0.0
Saudi Arabia,2005,1811.0,0.33,1134.0,676.78,184.7,123.4,0.0,0.0
Singapore,2005,535.0,0.1,473.31,61.86,184.7,123.4,0.0,0.0
Slovakia,2005,164.0,49.09,46.3,68.65,14.0,13.0,0.0,0.0
Slovenia,2005,59.0,17.65,30.32,10.78,10.0,10.0,0.0,0.0
South Africa,2005,1263.0,930.26,298.22,34.55,5.0,4.0,0.0,0.0
South Korea,2005,2212.0,637.27,1257.24,317.73,12.0,11.0,0.0,0.0
Spain,2005,1500.0,238.57,914.42,347.02,123.0,51.0,0.0,61.0
Sri Lanka,2005,1570.7,0.68,51.17,411.3,10.0,10.0,0.0,0.0
Sweden,2005,245.0,32.02,203.84,8.78,236.0,207.0,0.0,3.0
Switzerland,2005,182.0,1.68,148.3,32.36,93.0,89.0,0.0,0.0
Taiwan,2005,1083.0,419.94,559.43,103.2,18.0,12.0,0.0,0.0
Thailand,2005,998.0,134.76,543.03,320.59,23.0,16.0,0.0,0.0
Trinidad and Tobago,2005,184.0,0.0,20.11,163.75,184.7,123.4,0.0,0.0
Turkey,2005,883.0,257.69,368.02,257.23,114.0,113.0,0.0,0.0
Turkmenistan,2005,1570.7,511.6,60.13,116.46,0.0,0.0,0.0,0.0
Ukraine,2005,1326.0,433.76,170.23,722.11,36.0,35.0,0.0,0.0
United Arab Emirates,2005,705.0,1.69,292.92,409.99,184.7,123.4,0.0,0.0
United Kingdom,2005,2437.0,440.46,1002.57,993.87,52.0,14.0,0.0,8.0
United States,2005,23513.0,6346.96,11214.08,5951.93,1135.0,763.0,2.0,52.0
Uzbekistan,2005,543.0,9.83,63.85,469.22,20.0,20.0,0.0,0.0
Venezuela,2005,679.0,0.43,374.21,304.35,221.0,221.0,0.0,0.0
Vietnam,2005,322.0,108.74,151.4,62.15,48.0,47.0,0.0,0.0
Algeria,2006,379.0,10.26,139.85,228.5,1.0,1.0,0.0,0.0
Argentina,2006,698.0,9.92,281.32,406.5,112.0,108.0,0.0,0.0
Australia,2006,1409.0,655.5,493.64,259.43,62.0,43.0,0.0,6.0
Austria,2006,301.0,46.67,164.51,89.53,120.0,101.0,0.0,5.0
Azerbaijan,2006,157.0,0.04,57.11,99.78,7.0,7.0,0.0,0.0
Bangladesh,2006,203.0,12.68,46.74,143.63,2.0,2.0,0.0,0.0
Belarus,2006,302.0,7.14,100.95,193.95,0.0,0.0,0.0,0.0
Belgium,2006,622.0,59.08,388.74,173.89,9.0,1.0,0.0,1.0
Brazil,2006,1487.0,148.97,1126.73,211.7,1122.0,992.0,0.0,1.0
Bulgaria,2006,175.0,81.75,60.03,33.66,12.0,12.0,0.0,0.0
Canada,2006,2465.0,337.43,1256.41,870.74,1042.0,1004.0,0.0,7.0
Chile,2006,285.0,40.04,160.49,84.28,85.0,80.0,0.0,0.0
China,2006,21613.0,16918.38,4116.77,577.84,1286.0,1240.0,0.0,11.0
Colombia,2006,262.0,44.33,149.53,67.65,124.0,121.0,0.0,0.0
Croatia,2006,89.0,7.38,54.47,27.18,19.0,19.0,0.0,0.0
Cyprus,2006,34.0,0.35,34.06,0.0,184.7,123.4,0.0,0.0
Czechia,2006,448.0,241.98,117.51,88.31,11.0,7.0,0.0,0.0
Denmark,2006,224.0,64.74,106.55,52.98,27.0,0.0,0.0,17.0
Ecuador,2006,107.0,0.06,100.84,6.03,21.0,20.0,0.0,0.0
Egypt,2006,699.0,9.9,337.33,351.31,38.0,36.0,0.0,2.0
Estonia,2006,63.0,36.39,17.51,9.4,0.0,0.0,0.0,0.0
Finland,2006,253.0,86.15,122.85,44.28,68.0,33.0,0.0,0.0
France,2006,1711.0,144.32,1106.11,460.81,187.0,160.0,0.0,6.0
Germany,2006,3361.0,983.31,1457.24,920.07,245.0,57.0,6.0,89.0
Greece,2006,389.0,97.71,260.49,30.69,22.0,17.0,0.0,5.0
Hong Kong,2006,286.0,79.73,178.46,27.56,184.7,123.4,0.0,0.0
Hungary,2006,260.0,35.73,91.52,133.24,5.0,1.0,0.0,0.0
Iceland,2006,1570.7,1.19,10.26,411.3,28.0,21.0,0.0,0.0
India,2006,4428.0,2549.86,1519.21,358.77,374.0,320.0,0.0,27.0
Indonesia,2006,1393.0,330.79,691.34,371.11,47.0,27.0,0.0,0.0
Iran,2006,2067.0,17.47,991.93,1057.84,53.0,53.0,0.0,0.0
Iraq,2006,1570.7,511.6,271.71,13.78,14.0,14.0,0.0,0.0
Ireland,2006,187.0,27.77,113.52,45.9,7.0,2.0,0.0,5.0
Israel,2006,246.0,91.29,132.77,21.93,0.0,0.0,0.0,0.0
Italy,2006,2043.0,193.91,1038.18,810.59,147.0,105.0,0.0,8.0
Japan,2006,5086.0,1312.14,2888.42,885.5,332.0,253.0,6.0,6.0
Kazakhstan,2006,524.0,329.56,127.97,66.52,22.0,22.0,0.0,0.0
Kuwait,2006,321.0,0.03,203.21,117.89,184.7,123.4,0.0,0.0
Latvia,2006,37.0,1.01,18.93,16.63,8.0,8.0,0.0,0.0
Lithuania,2006,65.0,2.92,33.06,28.55,1.0,1.0,0.0,0.0
Luxembourg,2006,51.0,1.08,35.52,14.31,1.0,0.0,0.0,0.0
Malaysia,2006,824.0,84.82,350.32,388.64,20.0,18.0,0.0,0.0
Mexico,2006,1911.0,143.2,1184.83,582.88,109.0,87.0,0.0,0.0
Morocco,2006,161.0,44.89,110.87,5.58,3.0,3.0,0.0,1.0
Netherlands,2006,1055.0,89.72,567.07,398.08,25.0,0.0,0.0,8.0
New Zealand,2006,150.0,26.02,85.79,38.15,80.0,67.0,0.0,2.0
North Macedonia,2006,29.0,16.49,11.24,0.78,5.0,5.0,0.0,0.0
Norway,2006,171.0,7.2,120.29,43.32,343.0,340.0,0.0,2.0
Oman,2006,170.0,0.04,49.88,120.36,184.7,123.4,0.0,0.0
Pakistan,2006,588.0,46.21,208.94,333.19,86.0,86.0,0.0,0.0
Peru,2006,108.0,9.12,81.61,17.09,58.0,56.0,8.9,0.0
Philippines,2006,248.0,58.6,160.08,29.45,57.0,28.0,0.0,0.0
Poland,2006,1103.0,667.58,291.55,143.9,14.0,6.0,0.0,1.0
Portugal,2006,249.0,38.41,169.28,41.18,46.0,31.0,0.0,8.0
Qatar,2006,1570.7,511.6,56.68,177.59,184.7,123.4,0.0,0.0
Romania,2006,400.0,113.25,121.61,165.13,52.0,52.0,0.0,0.0
Russia,2006,6915.0,1128.36,1569.59,4217.36,494.0,493.0,0.0,0.0
Saudi Arabia,2006,1900.0,0.23,1202.06,697.88,184.7,123.4,0.0,0.0
Singapore,2006,589.0,0.06,507.91,81.5,184.7,123.4,0.0,0.0
Slovakia,2006,157.0,51.2,42.98,62.54,14.0,13.0,0.0,0.0
Slovenia,2006,60.0,18.0,31.76,10.46,11.0,10.0,0.0,0.0
South Africa,2006,1289.0,947.53,304.01,37.45,10.0,8.0,0.0,0.0
South Korea,2006,2252.0,658.87,1258.55,334.99,12.0,10.0,0.0,1.0
Spain,2006,1492.0,208.27,920.49,363.17,151.0,74.0,0.0,66.0
Sri Lanka,2006,1570.7,0.51,52.58,411.3,13.0,13.0,0.0,0.0
Sweden,2006,250.0,35.35,205.54,9.19,207.0,175.0,0.0,3.0
Switzerland,2006,185.0,1.81,151.99,31.47,92.0,88.0,0.0,0.0
Taiwan,2006,1115.0,440.81,563.49,110.7,18.0,12.0,0.0,1.0
Thailand,2006,1012.0,143.82,538.47,330.11,31.0,23.0,0.0,0.0
Trinidad and Tobago,2006,215.0,0.0,21.99,192.76,184.7,123.4,0.0,0.0
Turkey,2006,979.0,304.33,382.61,291.97,127.0,126.0,0.0,0.0
Turkmenistan,2006,1570.7,511.6,58.53,119.93,0.0,0.0,0.0,0.0
Ukraine,2006,1341.0,466.39,174.58,700.34,37.0,37.0,0.0,0.0
United Arab Emirates,2006,741.0,3.28,315.26,422.76,184.7,123.4,0.0,0.0
United Kingdom,2006,2416.0,480.99,992.44,942.6,57.0,13.0,0.0,12.0
United States,2006,23186.0,6249.68,11070.91,5865.78,1249.0,812.0,2.0,76.0
Uzbekistan,2006,510.0,10.69,66.49,433.03,17.0,17.0,0.0,0.0
Venezuela,2006,718.0,2.88,365.34,349.45,232.0,232.0,0.0,0.0
Vietnam,2006,283.0,66.62,148.51,67.55,56.0,56.0,0.0,0.0
Algeria,2007,399.0,8.8,156.39,233.81,1.0,1.0,0.0,0.0
Argentina,2007,754.0,14.36,312.61,427.12,92.0,88.0,0.0,0.0
Australia,2007,1446.0,649.8,506.27,290.2,60.0,37.0,0.0,8.0
Austria,2007,284.0,45.04,154.66,84.71,128.0,105.0,0.0,6.0
Azerbaijan,2007,144.0,0.06,56.48,87.85,7.0,7.0,0.0,0.0
Bangladesh,2007,208.0,10.35,44.3,153.36,2.0,2.0,0.0,0.0
Belarus,2007,295.0,8.08,91.83,194.72,0.0,0.0,0.0,0.0
Belgium,2007,622.0,53.99,392.63,175.19,11.0,1.0,0.0,1.0
Brazil,2007,1559.0,157.87,1183.29,218.02,1225.0,1058.0,0.0,2.0
Bulgaria,2007,185.0,91.97,58.88,33.92,8.0,8.0,0.0,0.0
Canada,2007,2579.0,352.77,1290.12,936.56,1084.0,1039.0,0.0,9.0
Chile,2007,298.0,47.52,200.3,49.68,72.0,63.0,0.0,0.0
China,2007,23448.0,18423.91,4313.57,710.78,1432.0,1372.0,0.0,15.0
Colombia,2007,264.0,39.03,153.09,71.62,129.0,125.0,0.0,0.0
Croatia,2007,95.0,8.01,55.77,31.23,13.0,13.0,0.0,0.0
Cyprus,2007,35.0,0.32,34.65,0.0,184.7,123.4,0.0,0.0
Czechia,2007,442.0,241.51,116.69,84.19,10.0,6.0,0.0,0.0
Denmark,2007,208.0,54.24,106.56,47.49,30.0,0.0,0.0,20.0
Ecuador,2007,108.0,0.03,102.5,5.47,26.0,26.0,0.0,0.0
Egypt,2007,743.0,9.0,364.29,369.21,42.0,40.0,0.0,2.0
Estonia,2007,73.0,45.29,18.68,9.34,0.0,0.0,0.0,0.0
Finland,2007,246.0,81.35,123.9,40.96,72.0,40.0,0.0,1.0
France,2007,1675.0,149.41,1078.22,447.61,204.0,163.0,0.0,12.0
Germany,2007,3214.0,1008.29,1319.46,886.36,298.0,60.0,9.0,115.0
Greece,2007,405.0,103.02,263.44,38.87,14.0,7.0,0.0,5.0
Hong Kong,2007,304.0,87.0,191.27,25.74,184.7,123.4,0.0,0.0
Hungary,2007,252.0,36.33,91.2,124.5,6.0,1.0,0.0,0.0
Iceland,2007,12.0,1.28,10.29,0.0,33.0,24.0,0.0,0.0
India,2007,4801.0,2790.27,1622.9,388.1,413.0,347.0,0.0,33.0
Indonesia,2007,1493.0,417.33,729.23,346.42,52.0,32.0,0.0,0.0
Iran,2007,2203.0,18.22,999.07,1185.52,51.0,51.0,0.0,0.0
Iraq,2007,1570.7,511.6,243.84,45.43,13.0,13.0,0.0,0.0
Ireland,2007,189.0,27.12,112.17,49.83,8.0,2.0,0.0,6.0
Israel,2007,255.0,93.36,135.56,26.24,0.0,0.0,0.0,0.0
Italy,2007,2010.0,189.85,1005.71,814.56,138.0,93.0,0.0,11.0
Japan,2007,5130.0,1377.4,2798.97,953.9,294.0,211.0,7.0,8.0
Kazakhstan,2007,582.0,362.14,138.73,81.17,23.0,23.0,0.0,0.0
Kuwait,2007,312.0,0.0,204.99,106.97,184.7,123.4,0.0,0.0
Latvia,2007,38.0,1.25,20.56,16.09,8.0,8.0,0.0,0.0
Lithuania,2007,69.0,2.9,32.61,33.64,2.0,1.0,0.0,0.0
Luxembourg,2007,49.0,0.91,34.58,13.36,1.0,0.0,0.0,0.0
Malaysia,2007,880.0,102.82,373.59,404.01,20.0,17.0,0.0,0.0
Mexico,2007,1938.0,131.58,1236.41,570.41,102.0,77.0,0.0,1.0
Morocco,2007,160.0,37.6,116.0,6.3,3.0,3.0,0.0,1.0
Netherlands,2007,1069.0,97.78,583.52,388.06,27.0,0.0,0.0,10.0
New Zealand,2007,148.0,19.72,86.19,42.15,81.0,67.0,0.0,3.0
North Macedonia,2007,30.0,16.92,12.21,0.99,3.0,3.0,0.0,0.0
Norway,2007,169.0,7.92,119.56,41.76,382.0,378.0,0.0,3.0
Oman,2007,173.0,0.01,50.93,121.62,184.7,123.4,0.0,0.0
Pakistan,2007,629.0,63.23,227.32,338.0,90.0,90.0,0.0,0.0
Peru,2007,123.0,12.04,84.95,25.75,58.0,55.0,8.9,0.0
Philippines,2007,264.0,62.7,165.96,35.3,53.0,24.0,0.0,0.0
Poland,2007,1096.0,650.67,301.8,143.94,17.0,7.0,0.0,1.0
Portugal,2007,249.0,33.44,171.78,43.89,48.0,28.0,0.0,11.0
Qatar,2007,1570.7,511.6,62.76,192.59,184.7,123.4,0.0,0.0
Romania,2007,385.0,114.21,121.9,148.42,46.0,45.0,0.0,0.0
Russia,2007,6942.0,1092.24,1561.67,4288.17,502.0,501.0,0.0,0.0
Saudi Arabia,2007,1944.0,0.65,1236.42,706.99,184.7,123.4,0.0,0.0
Singapore,2007,634.0,0.09,552.24,81.5,184.7,123.4,0.0,0.0
Slovakia,2007,150.0,45.88,45.14,59.19,15.0,13.0,0.0,0.0
Slovenia,2007,60.0,18.3,31.36,10.63,10.0,9.0,0.0,0.0
South Africa,2007,1321.0,972.98,310.25,37.91,10.0,8.0,0.0,0.0
South Korea,2007,2349.0,693.76,1292.23,362.82,14.0,10.0,0.0,1.0
Spain,2007,1530.0,233.03,927.3,369.57,167.0,77.0,1.0,78.0
Sri Lanka,2007,56.0,0.5,55.73,0.0,11.0,11.0,0.0,0.0
Sweden,2007,243.0,32.94,200.62,9.48,225.0,187.0,0.0,4.0
Switzerland,2007,170.0,2.03,137.11,30.64,104.0,100.0,0.0,0.0
Taiwan,2007,1164.0,461.68,584.52,117.45,21.0,12.0,0.0,1.0
Thailand,2007,1047.0,161.63,533.91,351.72,32.0,23.0,0.0,0.0
Trinidad and Tobago,2007,221.0,0.0,25.02,196.45,184.7,123.4,0.0,0.0
Turkey,2007,1071.0,342.67,389.54,338.91,103.0,101.0,0.0,1.0
Turkmenistan,2007,1570.7,511.6,61.51,111.65,0.0,0.0,0.0,0.0
Ukraine,2007,1337.0,496.1,180.38,660.59,30.0,29.0,0.0,0.0
United Arab Emirates,2007,818.0,1.58,337.4,479.38,184.7,123.4,0.0,0.0
United Kingdom,2007,2371.0,452.89,964.61,953.01,63.0,14.0,0.0,15.0
United States,2007,23577.0,6333.85,11001.75,6241.38,1184.0,687.0,3.0,98.0
Uzbekistan,2007,546.0,9.21,68.48,468.35,18.0,18.0,0.0,0.0
Venezuela,2007,768.0,1.61,393.73,372.67,235.0,235.0,0.0,0.0
Vietnam,2007,307.0,72.92,165.34,68.32,64.0,63.0,0.0,0.0
Algeria,2008,423.0,8.8,169.92,244.04,1.0,1.0,0.0,0.0
Argentina,2008,766.0,17.52,316.2,431.89,92.0,88.0,0.0,0.0
Australia,2008,1475.0,677.29,512.72,285.35,56.0,33.0,0.0,10.0
Austria,2008,288.0,44.52,153.21,90.69,132.0,108.0,0.0,6.0
Azerbaijan,2008,146.0,0.05,45.57,100.51,6.0,6.0,0.0,0.0
Bangladesh,2008,220.0,10.9,44.91,163.76,3.0,3.0,0.0,0.0
Belarus,2008,298.0,7.53,91.41,199.41,0.0,0.0,0.0,0.0
Belgium,2008,639.0,53.32,411.84,174.01,14.0,1.0,0.0,2.0
Brazil,2008,1649.0,160.13,1231.77,256.61,1253.0,1038.0,0.0,3.0
Bulgaria,2008,179.0,87.66,57.87,33.92,8.0,8.0,0.0,0.0
Canada,2008,2506.0,335.23,1245.21,925.44,1106.0,1061.0,0.0,11.0
Chile,2008,290.0,50.82,211.09,27.65,80.0,68.0,0.0,0.0
China,2008,23943.0,18715.92,4408.09,819.33,1891.0,1790.0,0.0,37.0
Colombia,2008,275.0,51.64,150.9,72.75,133.0,130.0,0.0,0.0
Croatia,2008,91.0,8.25,52.88,30.27,16.0,16.0,0.0,0.0
Cyprus,2008,1570.7,0.26,35.38,411.3,184.7,123.4,0.0,0.0
Czechia,2008,430.0,229.05,117.23,83.43,12.0,6.0,0.0,1.0
Denmark,2008,197.0,47.66,101.6,47.72,30.0,0.0,0.0,19.0
Ecuador,2008,111.0,0.29,105.6,4.99,32.0,32.0,0.0,0.0
Egypt,2008,787.0,8.1,385.62,393.08,45.0,42.0,0.0,3.0
Estonia,2008,67.0,40.48,17.79,8.96,1.0,0.0,0.0,0.0
Finland,2008,224.0,62.04,119.76,41.88,83.0,48.0,0.0,1.0
France,2008,1662.0,140.41,1057.44,463.86,235.0,179.0,0.0,16.0
Germany,2008,3226.0,931.81,1399.07,895.01,308.0,57.0,13.0,116.0
Greece,2008,395.0,96.97,252.57,45.03,17.0,9.0,0.0,6.0
Hong Kong,2008,283.0,79.72,173.35,29.78,0.0,0.0,0.0,0.0
Hungary,2008,245.0,35.29,86.56,122.82,9.0,1.0,0.0,1.0
Iceland,2008,1570.7,1.11,9.53,411.3,46.0,35.0,0.0,0.0
India,2008,5125.0,3020.76,1704.72,399.88,404.0,324.0,0.0,40.0
Indonesia,2008,1507.0,366.07,743.94,396.95,56.0,32.0,0.0,0.0
Iran,2008,2302.0,14.34,1029.71,1257.87,21.0,21.0,0.0,1.0
Iraq,2008,1570.7,511.6,273.1,64.58,8.0,8.0,0.0,0.0
Ireland,2008,186.0,26.54,106.85,52.21,11.0,3.0,0.0,7.0
Israel,2008,263.0,91.87,134.59,36.1,0.0,0.0,0.0,0.0
Italy,2008,1939.0,183.7,946.61,808.52,173.0,117.0,1.0,14.0
Japan,2008,5101.0,1414.78,2695.13,990.99,293.0,211.0,7.0,8.0
Kazakhstan,2008,617.0,392.95,138.68,85.56,21.0,21.0,0.0,0.0
Kuwait,2008,337.0,0.01,216.81,120.65,184.7,123.4,0.0,0.0
Latvia,2008,37.0,1.24,20.18,15.76,9.0,9.0,0.0,0.0
Lithuania,2008,68.0,2.46,35.37,30.19,2.0,1.0,0.0,0.0
Luxembourg,2008,48.0,0.87,34.85,12.71,1.0,0.0,0.0,0.0
Malaysia,2008,908.0,113.69,358.46,435.5,25.0,22.0,0.0,0.0
