Country,Year,Fossil fuels,Gas,Coal,Oil,Solar,Wind,Renewables,Hydropower
Slovenia,2002,56 TWh,9.53 TWh,18.23 TWh,28.53 TWh,0 TWh,0 TWh,10 TWh,10 TWh
South Africa,2002,"1,119 TWh",13.92 TWh,828.60 TWh,276.94 TWh,0 TWh,0 TWh,8 TWh,6 TWh
South Korea,2002,"2,062 TWh",241.78 TWh,571.39 TWh,"1,249.26 TWh",0 TWh,0 TWh,10 TWh,9 TWh
Spain,2002,"1,334 TWh",218.03 TWh,251.18 TWh,865.24 TWh,0 TWh,27 TWh,104 TWh,67 TWh
Sri Lanka,2002,,,0.13 TWh,45.49 TWh,0 TWh,0 TWh,8 TWh,8 TWh
Sweden,2002,242 TWh,9.28 TWh,34.72 TWh,198.44 TWh,0 TWh,2 TWh,209 TWh,194 TWh
Switzerland,2002,181 TWh,28.91 TWh,1.54 TWh,150.42 TWh,0 TWh,0 TWh,106 TWh,103 TWh
Taiwan,2002,973 TWh,81.53 TWh,371.89 TWh,519.32 TWh,0 TWh,0 TWh,13 TWh,8 TWh
Thailand,2002,824 TWh,266.89 TWh,108.94 TWh,448.52 TWh,0 TWh,0 TWh,24 TWh,22 TWh
Trinidad and Tobago,2002,139 TWh,117.31 TWh,0.00 TWh,21.75 TWh,0 TWh,0 TWh,,
Turkey,2002,760 TWh,166.39 TWh,224.14 TWh,369.93 TWh,0 TWh,0 TWh,99 TWh,98 TWh
Turkmenistan,2002,,74.98 TWh,,52.58 TWh,0 TWh,0 TWh,0 TWh,0 TWh
USSR,2002,,,,,,,,
Ukraine,2002,"1,307 TWh",707.92 TWh,439.20 TWh,159.52 TWh,0 TWh,0 TWh,28 TWh,28 TWh
United Arab Emirates,2002,592 TWh,355.29 TWh,1.10 TWh,235.31 TWh,0 TWh,0 TWh,,
United Kingdom,2002,"2,351 TWh",995.34 TWh,415.31 TWh,940.81 TWh,0 TWh,4 TWh,34 TWh,14 TWh
United States,2002,"22,942 TWh","6,201.11 TWh","6,098.45 TWh","10,642.41 TWh",2 TWh,31 TWh,"1,056 TWh",754 TWh
Uzbekistan,2002,599 TWh,505.22 TWh,9.82 TWh,83.65 TWh,0 TWh,0 TWh,18 TWh,18 TWh
Venezuela,2002,686 TWh,315.41 TWh,0.21 TWh,370.70 TWh,0 TWh,0 TWh,174 TWh,174 TWh
Vietnam,2002,212 TWh,23.16 TWh,68.06 TWh,120.42 TWh,0 TWh,0 TWh,53 TWh,53 TWh
Algeria,2003,336 TWh,205.93 TWh,7.05 TWh,123.17 TWh,0 TWh,0 TWh,1 TWh,1 TWh
Argentina,2003,579 TWh,336.29 TWh,5.59 TWh,237.50 TWh,0 TWh,0 TWh,101 TWh,98 TWh
Australia,2003,"1,306 TWh",229.94 TWh,616.02 TWh,460.26 TWh,0 TWh,2 TWh,55 TWh,47 TWh
Austria,2003,307 TWh,89.63 TWh,47.55 TWh,169.94 TWh,0 TWh,1 TWh,103 TWh,96 TWh
Azerbaijan,2003,129 TWh,77.92 TWh,0.03 TWh,50.91 TWh,0 TWh,0 TWh,7 TWh,7 TWh
Bangladesh,2003,163 TWh,114.78 TWh,4.06 TWh,43.89 TWh,0 TWh,0 TWh,2 TWh,2 TWh
Belarus,2003,255 TWh,152.81 TWh,7.38 TWh,94.32 TWh,0 TWh,0 TWh,0 TWh,0 TWh
Belgium,2003,626 TWh,168.67 TWh,70.05 TWh,387.42 TWh,0 TWh,0 TWh,4 TWh,1 TWh
Brazil,2003,"1,360 TWh",162.47 TWh,149.42 TWh,"1,048.22 TWh",0 TWh,0 TWh,997 TWh,886 TWh
Bulgaria,2003,169 TWh,26.83 TWh,86.02 TWh,55.73 TWh,0 TWh,0 TWh,9 TWh,9 TWh
Canada,2003,"2,495 TWh",897.85 TWh,370.36 TWh,"1,227.19 TWh",0 TWh,2 TWh,"1,009 TWh",975 TWh
Chile,2003,252 TWh,86.74 TWh,28.25 TWh,136.52 TWh,0 TWh,0 TWh,71 TWh,66 TWh
China,2003,"14,860 TWh",341.75 TWh,"11,283.06 TWh","3,234.76 TWh",0 TWh,3 TWh,839 TWh,823 TWh
Colombia,2003,216 TWh,57.50 TWh,28.22 TWh,130.62 TWh,0 TWh,0 TWh,107 TWh,105 TWh
Croatia,2003,90 TWh,27.40 TWh,7.56 TWh,55.53 TWh,0 TWh,0 TWh,16 TWh,16 TWh
Cyprus,2003,,,0.51 TWh,31.58 TWh,0 TWh,0 TWh,,
Czechia,2003,436 TWh,91.20 TWh,241.52 TWh,103.53 TWh,0 TWh,0 TWh,6 TWh,4 TWh
Denmark,2003,231 TWh,54.41 TWh,66.68 TWh,109.99 TWh,0 TWh,16 TWh,24 TWh,0 TWh
Ecuador,2003,86 TWh,2.31 TWh,0.88 TWh,82.59 TWh,0 TWh,0 TWh,21 TWh,21 TWh
Egypt,2003,608 TWh,285.86 TWh,9.89 TWh,311.88 TWh,0 TWh,1 TWh,38 TWh,38 TWh
Estonia,2003,63 TWh,7.91 TWh,38.57 TWh,16.20 TWh,0 TWh,0 TWh,0 TWh,0 TWh
Finland,2003,274 TWh,47.00 TWh,95.59 TWh,131.00 TWh,0 TWh,0 TWh,58 TWh,28 TWh
France,2003,"1,730 TWh",457.27 TWh,157.98 TWh,"1,114.92 TWh",0 TWh,1 TWh,188 TWh,171 TWh
Germany,2003,"3,405 TWh",883.72 TWh,"1,013.62 TWh","1,507.72 TWh",1 TWh,55 TWh,146 TWh,53 TWh
Greece,2003,381 TWh,23.52 TWh,104.93 TWh,252.75 TWh,0 TWh,3 TWh,17 TWh,14 TWh
Hong Kong,2003,251 TWh,17.35 TWh,78.62 TWh,155.44 TWh,0 TWh,0 TWh,,
Hungary,2003,253 TWh,138.23 TWh,42.21 TWh,72.27 TWh,0 TWh,0 TWh,1 TWh,0 TWh
Iceland,2003,,,1.17 TWh,9.47 TWh,0 TWh,0 TWh,24 TWh,21 TWh
India,2003,"3,728 TWh",284.27 TWh,"2,107.98 TWh","1,336.15 TWh",0 TWh,8 TWh,225 TWh,201 TWh
Indonesia,2003,"1,344 TWh",395.58 TWh,269.09 TWh,679.26 TWh,0 TWh,0 TWh,45 TWh,26 TWh
Iran,2003,"1,628 TWh",802.77 TWh,15.26 TWh,810.28 TWh,0 TWh,0 TWh,28 TWh,28 TWh
Iraq,2003,,14.82 TWh,,275.46 TWh,0 TWh,0 TWh,14 TWh,14 TWh
Ireland,2003,174 TWh,42.55 TWh,29.65 TWh,101.32 TWh,0 TWh,1 TWh,3 TWh,2 TWh
Israel,2003,239 TWh,0.08 TWh,91.99 TWh,146.53 TWh,0 TWh,0 TWh,0 TWh,0 TWh
Italy,2003,"2,014 TWh",745.33 TWh,172.30 TWh,"1,095.88 TWh",0 TWh,4 TWh,136 TWh,106 TWh
Japan,2003,"5,201 TWh",834.98 TWh,"1,241.26 TWh","3,124.68 TWh",3 TWh,2 TWh,329 TWh,268 TWh
Kazakhstan,2003,440 TWh,46.83 TWh,290.11 TWh,102.73 TWh,0 TWh,0 TWh,25 TWh,25 TWh
Kuwait,2003,271 TWh,95.00 TWh,0.00 TWh,176.09 TWh,0 TWh,0 TWh,,
Latvia,2003,34 TWh,15.01 TWh,1.03 TWh,17.69 TWh,0 TWh,0 TWh,7 TWh,7 TWh
Lithuania,2003,58 TWh,27.38 TWh,2.03 TWh,28.67 TWh,0 TWh,0 TWh,1 TWh,1 TWh
Luxembourg,2003,45 TWh,12.56 TWh,0.66 TWh,32.07 TWh,0 TWh,0 TWh,0 TWh,0 TWh
Malaysia,2003,698 TWh,302.66 TWh,61.78 TWh,333.62 TWh,0 TWh,0 TWh,16 TWh,15 TWh
Mexico,2003,"1,634 TWh",445.09 TWh,103.32 TWh,"1,085.19 TWh",0 TWh,0 TWh,78 TWh,58 TWh
Morocco,2003,126 TWh,0.54 TWh,38.06 TWh,87.08 TWh,0 TWh,1 TWh,5 TWh,4 TWh
Netherlands,2003,"1,030 TWh",416.83 TWh,100.00 TWh,512.81 TWh,0 TWh,4 TWh,12 TWh,0 TWh
New Zealand,2003,150 TWh,44.62 TWh,22.97 TWh,82.20 TWh,0 TWh,0 TWh,78 TWh,69 TWh
North Macedonia,2003,28 TWh,0.70 TWh,17.21 TWh,10.09 TWh,0 TWh,0 TWh,4 TWh,4 TWh
Norway,2003,174 TWh,45.15 TWh,8.71 TWh,120.56 TWh,0 TWh,1 TWh,308 TWh,306 TWh
Oman,2003,138 TWh,95.25 TWh,0.00 TWh,42.72 TWh,0 TWh,0 TWh,,
Pakistan,2003,480 TWh,255.50 TWh,35.22 TWh,189.24 TWh,0 TWh,0 TWh,75 TWh,71 TWh
Peru,2003,93 TWh,5.03 TWh,9.77 TWh,78.32 TWh,,0 TWh,55 TWh,54 TWh
Philippines,2003,262 TWh,25.71 TWh,50.04 TWh,185.83 TWh,0 TWh,0 TWh,50 TWh,23 TWh
Poland,2003,"1,027 TWh",130.96 TWh,652.90 TWh,243.36 TWh,0 TWh,0 TWh,7 TWh,5 TWh
Portugal,2003,252 TWh,30.20 TWh,38.97 TWh,182.45 TWh,0 TWh,1 TWh,52 TWh,46 TWh
Qatar,2003,,130.73 TWh,,32.20 TWh,0 TWh,0 TWh,,
Romania,2003,389 TWh,171.30 TWh,106.62 TWh,111.21 TWh,0 TWh,0 TWh,38 TWh,38 TWh
Russia,2003,"6,578 TWh","3,855.95 TWh","1,212.41 TWh","1,509.19 TWh",0 TWh,0 TWh,453 TWh,451 TWh
Saudi Arabia,2003,"1,569 TWh",570.57 TWh,0.18 TWh,998.44 TWh,0 TWh,0 TWh,,
Singapore,2003,453 TWh,51.11 TWh,0.10 TWh,401.48 TWh,0 TWh,0 TWh,,
Slovakia,2003,160 TWh,65.93 TWh,53.99 TWh,39.82 TWh,0 TWh,0 TWh,10 TWh,10 TWh
Slovenia,2003,57 TWh,10.54 TWh,17.30 TWh,28.91 TWh,0 TWh,0 TWh,9 TWh,9 TWh
South Africa,2003,"1,218 TWh",10.53 TWh,920.97 TWh,286.92 TWh,0 TWh,0 TWh,4 TWh,2 TWh
South Korea,2003,"2,108 TWh",253.24 TWh,594.58 TWh,"1,259.75 TWh",0 TWh,0 TWh,15 TWh,14 TWh
Spain,2003,"1,368 TWh",248.29 TWh,234.10 TWh,885.72 TWh,0 TWh,35 TWh,167 TWh,119 TWh
Sri Lanka,2003,,,0.69 TWh,44.73 TWh,0 TWh,0 TWh,10 TWh,10 TWh
Sweden,2003,256 TWh,9.25 TWh,34.04 TWh,212.63 TWh,0 TWh,2 TWh,172 TWh,155 TWh
Switzerland,2003,179 TWh,30.56 TWh,1.59 TWh,146.39 TWh,0 TWh,0 TWh,104 TWh,101 TWh
Taiwan,2003,"1,023 TWh",84.15 TWh,396.45 TWh,542.69 TWh,0 TWh,0 TWh,15 TWh,9 TWh
Thailand,2003,887 TWh,284.22 TWh,111.27 TWh,491.78 TWh,0 TWh,0 TWh,25 TWh,21 TWh
Trinidad and Tobago,2003,156 TWh,135.20 TWh,0.00 TWh,20.75 TWh,0 TWh,0 TWh,,
Turkey,2003,807 TWh,200.48 TWh,242.09 TWh,364.58 TWh,0 TWh,0 TWh,103 TWh,102 TWh
Turkmenistan,2003,,116.17 TWh,,59.94 TWh,0 TWh,0 TWh,0 TWh,0 TWh
USSR,2003,,,,,,,,
Ukraine,2003,"1,338 TWh",722.11 TWh,451.36 TWh,165.03 TWh,0 TWh,0 TWh,27 TWh,27 TWh
United Arab Emirates,2003,631 TWh,369.33 TWh,1.29 TWh,260.54 TWh,0 TWh,0 TWh,,
United Kingdom,2003,"2,390 TWh",998.09 TWh,443.15 TWh,948.32 TWh,0 TWh,4 TWh,33 TWh,9 TWh
United States,2003,"23,040 TWh","6,021.90 TWh","6,214.54 TWh","10,803.68 TWh",2 TWh,33 TWh,"1,103 TWh",783 TWh
Uzbekistan,2003,545 TWh,455.45 TWh,7.66 TWh,81.58 TWh,0 TWh,0 TWh,21 TWh,21 TWh
Venezuela,2003,628 TWh,279.99 TWh,0.50 TWh,347.74 TWh,0 TWh,0 TWh,176 TWh,176 TWh
Vietnam,2003,230 TWh,22.90 TWh,79.24 TWh,128.13 TWh,0 TWh,0 TWh,55 TWh,55 TWh
Algeria,2004,349 TWh,211.90 TWh,8.41 TWh,128.75 TWh,0 TWh,0 TWh,1 TWh,1 TWh
Argentina,2004,632 TWh,368.09 TWh,9.52 TWh,254.69 TWh,0 TWh,0 TWh,91 TWh,88 TWh
Australia,2004,"1,348 TWh",234.54 TWh,641.92 TWh,471.30 TWh,0 TWh,2 TWh,57 TWh,45 TWh
Austria,2004,302 TWh,90.49 TWh,46.58 TWh,165.33 TWh,0 TWh,3 TWh,115 TWh,106 TWh
Azerbaijan,2004,146 TWh,91.38 TWh,0.01 TWh,54.57 TWh,0 TWh,0 TWh,8 TWh,8 TWh
Bangladesh,2004,173 TWh,123.40 TWh,4.07 TWh,45.44 TWh,0 TWh,0 TWh,2 TWh,2 TWh
Belarus,2004,285 TWh,185.34 TWh,7.23 TWh,92.41 TWh,0 TWh,0 TWh,0 TWh,0 TWh
Belgium,2004,629 TWh,171.88 TWh,65.15 TWh,392.12 TWh,0 TWh,0 TWh,5 TWh,1 TWh
Brazil,2004,"1,433 TWh",193.22 TWh,156.66 TWh,"1,083.56 TWh",0 TWh,0 TWh,"1,046 TWh",924 TWh
Bulgaria,2004,162 TWh,26.20 TWh,82.20 TWh,53.97 TWh,0 TWh,0 TWh,9 TWh,9 TWh
Canada,2004,"2,509 TWh",878.20 TWh,349.85 TWh,"1,280.92 TWh",0 TWh,3 TWh,"1,011 TWh",975 TWh
Chile,2004,277 TWh,94.15 TWh,32.72 TWh,150.50 TWh,0 TWh,0 TWh,67 TWh,60 TWh
China,2004,"17,333 TWh",399.84 TWh,"13,155.28 TWh","3,777.77 TWh",0 TWh,4 TWh,"1,037 TWh","1,019 TWh"
Colombia,2004,227 TWh,61.35 TWh,24.70 TWh,141.37 TWh,0 TWh,0 TWh,112 TWh,110 TWh
Croatia,2004,89 TWh,28.42 TWh,8.02 TWh,52.10 TWh,0 TWh,0 TWh,22 TWh,22 TWh
Cyprus,2004,,,0.51 TWh,30.71 TWh,0 TWh,0 TWh,,
Czechia,2004,447 TWh,90.57 TWh,241.89 TWh,114.09 TWh,0 TWh,0 TWh,8 TWh,6 TWh
Denmark,2004,213 TWh,54.15 TWh,51.11 TWh,108.04 TWh,0 TWh,19 TWh,28 TWh,0 TWh
Ecuador,2004,93 TWh,5.38 TWh,0.02 TWh,87.29 TWh,0 TWh,0 TWh,21 TWh,21 TWh
Egypt,2004,644 TWh,305.11 TWh,10.11 TWh,328.40 TWh,0 TWh,1 TWh,38 TWh,37 TWh
Estonia,2004,64 TWh,9.01 TWh,38.46 TWh,16.44 TWh,0 TWh,0 TWh,0 TWh,0 TWh
Finland,2004,253 TWh,45.28 TWh,85.88 TWh,122.12 TWh,0 TWh,0 TWh,77 TWh,43 TWh
France,2004,"1,742 TWh",466.93 TWh,150.39 TWh,"1,124.85 TWh",0 TWh,2 TWh,189 TWh,172 TWh
Germany,2004,"3,367 TWh",888.21 TWh,988.11 TWh,"1,490.49 TWh",2 TWh,75 TWh,181 TWh,60 TWh
Greece,2004,381 TWh,25.85 TWh,107.56 TWh,247.73 TWh,0 TWh,3 TWh,17 TWh,13 TWh
Hong Kong,2004,282 TWh,25.06 TWh,73.41 TWh,183.06 TWh,0 TWh,0 TWh,,
Hungary,2004,253 TWh,136.21 TWh,40.02 TWh,76.82 TWh,0 TWh,0 TWh,3 TWh,1 TWh
Iceland,2004,,,1.22 TWh,9.91 TWh,0 TWh,0 TWh,25 TWh,21 TWh
India,2004,"3,964 TWh",306.69 TWh,"2,243.53 TWh","1,414.22 TWh",0 TWh,15 TWh,324 TWh,290 TWh
Indonesia,2004,"1,328 TWh",362.02 TWh,247.38 TWh,718.92 TWh,0 TWh,0 TWh,47 TWh,28 TWh
Iran,2004,"1,797 TWh",932.56 TWh,15.97 TWh,848.91 TWh,0 TWh,0 TWh,35 TWh,34 TWh
Iraq,2004,,9.50 TWh,,299.97 TWh,0 TWh,0 TWh,17 TWh,17 TWh
Ireland,2004,176 TWh,42.48 TWh,27.70 TWh,106.12 TWh,0 TWh,2 TWh,4 TWh,2 TWh
Israel,2004,243 TWh,11.39 TWh,92.87 TWh,139.09 TWh,0 TWh,0 TWh,0 TWh,0 TWh
Italy,2004,"2,039 TWh",773.42 TWh,193.01 TWh,"1,072.42 TWh",0 TWh,5 TWh,159 TWh,122 TWh
Japan,2004,"5,123 TWh",806.04 TWh,"1,274.10 TWh","3,042.73 TWh",4 TWh,4 TWh,328 TWh,264 TWh
Kazakhstan,2004,471 TWh,52.35 TWh,309.25 TWh,108.98 TWh,0 TWh,0 TWh,23 TWh,23 TWh
Kuwait,2004,303 TWh,103.55 TWh,0.00 TWh,199.29 TWh,0 TWh,0 TWh,,
Latvia,2004,36 TWh,16.56 TWh,0.78 TWh,18.99 TWh,0 TWh,0 TWh,9 TWh,9 TWh
Lithuania,2004,60 TWh,27.31 TWh,1.96 TWh,30.59 TWh,0 TWh,0 TWh,1 TWh,1 TWh
Luxembourg,2004,51 TWh,13.91 TWh,0.92 TWh,36.37 TWh,0 TWh,0 TWh,1 TWh,0 TWh
Malaysia,2004,754 TWh,326.94 TWh,77.08 TWh,349.72 TWh,0 TWh,0 TWh,18 TWh,16 TWh
Mexico,2004,"1,724 TWh",480.22 TWh,105.72 TWh,"1,137.85 TWh",0 TWh,0 TWh,94 TWh,73 TWh
Morocco,2004,143 TWh,0.69 TWh,42.10 TWh,100.62 TWh,0 TWh,1 TWh,5 TWh,5 TWh
Netherlands,2004,"1,062 TWh",426.78 TWh,98.61 TWh,536.42 TWh,0 TWh,5 TWh,16 TWh,0 TWh
New Zealand,2004,145 TWh,40.72 TWh,23.74 TWh,81.03 TWh,0 TWh,1 TWh,89 TWh,78 TWh
North Macedonia,2004,27 TWh,0.68 TWh,16.35 TWh,10.28 TWh,0 TWh,0 TWh,4 TWh,4 TWh
Norway,2004,176 TWh,47.74 TWh,9.84 TWh,117.99 TWh,0 TWh,1 TWh,315 TWh,313 TWh
Oman,2004,128 TWh,86.43 TWh,0.01 TWh,41.73 TWh,0 TWh,0 TWh,,
Pakistan,2004,537 TWh,306.77 TWh,39.28 TWh,191.36 TWh,0 TWh,0 TWh,79 TWh,76 TWh
Peru,2004,106 TWh,8.28 TWh,10.56 TWh,87.45 TWh,,0 TWh,51 TWh,51 TWh
Philippines,2004,266 TWh,23.74 TWh,52.71 TWh,189.48 TWh,0 TWh,0 TWh,53 TWh,25 TWh
Poland,2004,"1,032 TWh",138.17 TWh,633.71 TWh,260.06 TWh,0 TWh,0 TWh,9 TWh,6 TWh
Portugal,2004,262 TWh,37.83 TWh,38.55 TWh,185.17 TWh,0 TWh,2 TWh,36 TWh,28 TWh
Qatar,2004,,157.12 TWh,,39.75 TWh,0 TWh,0 TWh,,
Romania,2004,394 TWh,162.09 TWh,104.84 TWh,127.45 TWh,0 TWh,0 TWh,48 TWh,48 TWh
Russia,2004,"6,606 TWh","3,956.19 TWh","1,161.75 TWh","1,488.48 TWh",0 TWh,0 TWh,508 TWh,506 TWh
Saudi Arabia,2004,"1,702 TWh",623.96 TWh,0.16 TWh,"1,078.32 TWh",0 TWh,0 TWh,,
Singapore,2004,508 TWh,61.87 TWh,0.08 TWh,445.82 TWh,0 TWh,0 TWh,,
Slovakia,2004,156 TWh,63.95 TWh,52.96 TWh,39.15 TWh,0 TWh,0 TWh,12 TWh,12 TWh
Slovenia,2004,58 TWh,10.45 TWh,17.59 TWh,29.86 TWh,0 TWh,0 TWh,12 TWh,12 TWh
South Africa,2004,"1,331 TWh",24.34 TWh,"1,009.11 TWh",297.69 TWh,0 TWh,0 TWh,5 TWh,3 TWh
South Korea,2004,"2,166 TWh",296.75 TWh,618.70 TWh,"1,250.87 TWh",0 TWh,0 TWh,14 TWh,12 TWh
Spain,2004,"1,444 TWh",292.69 TWh,244.80 TWh,906.61 TWh,0 TWh,45 TWh,149 TWh,91 TWh
Sri Lanka,2004,,,0.18 TWh,44.75 TWh,0 TWh,0 TWh,9 TWh,9 TWh
Sweden,2004,248 TWh,9.21 TWh,35.02 TWh,203.59 TWh,0 TWh,2 TWh,200 TWh,175 TWh
Switzerland,2004,179 TWh,31.52 TWh,1.51 TWh,145.68 TWh,0 TWh,0 TWh,100 TWh,97 TWh
Taiwan,2004,"1,070 TWh",102.36 TWh,412.38 TWh,555.38 TWh,0 TWh,0 TWh,15 TWh,9 TWh
Thailand,2004,967 TWh,297.55 TWh,124.67 TWh,545.10 TWh,0 TWh,0 TWh,23 TWh,17 TWh
Trinidad and Tobago,2004,171 TWh,148.71 TWh,0.00 TWh,22.76 TWh,0 TWh,0 TWh,,
Turkey,2004,841 TWh,211.68 TWh,256.86 TWh,372.77 TWh,0 TWh,0 TWh,133 TWh,133 TWh
Turkmenistan,2004,,114.54 TWh,,59.86 TWh,0 TWh,0 TWh,0 TWh,0 TWh
USSR,2004,,,,,,,,
Ukraine,2004,"1,311 TWh",716.43 TWh,428.85 TWh,165.99 TWh,0 TWh,0 TWh,34 TWh,34 TWh
United Arab Emirates,2004,675 TWh,392.05 TWh,1.46 TWh,281.56 TWh,0 TWh,0 TWh,,
United Kingdom,2004,"2,427 TWh","1,019.88 TWh",432.51 TWh,974.37 TWh,0 TWh,6 TWh,43 TWh,14 TWh
United States,2004,"23,499 TWh","6,046.28 TWh","6,254.98 TWh","11,197.87 TWh",2 TWh,41 TWh,"1,103 TWh",757 TWh
Uzbekistan,2004,545 TWh,460.17 TWh,10.35 TWh,74.44 TWh,0 TWh,0 TWh,19 TWh,19 TWh
Venezuela,2004,671 TWh,315.30 TWh,0.00 TWh,355.79 TWh,0 TWh,0 TWh,202 TWh,202 TWh
Vietnam,2004,296 TWh,40.14 TWh,103.84 TWh,152.44 TWh,0 TWh,0 TWh,51 TWh,51 TWh
Algeria,2005,365 TWh,223.56 TWh,6.91 TWh,134.21 TWh,0 TWh,0 TWh,2 TWh,2 TWh
Argentina,2005,671 TWh,392.89 TWh,10.96 TWh,266.66 TWh,0 TWh,0 TWh,101 TWh,98 TWh
Australia,2005,"1,350 TWh",232.59 TWh,638.22 TWh,478.70 TWh,0 TWh,4 TWh,61 TWh,44 TWh
Austria,2005,307 TWh,95.28 TWh,46.73 TWh,164.63 TWh,0 TWh,4 TWh,119 TWh,106 TWh
Azerbaijan,2005,158 TWh,94.38 TWh,0.04 TWh,63.80 TWh,0 TWh,0 TWh,9 TWh,9 TWh
Bangladesh,2005,187 TWh,132.63 TWh,8.35 TWh,46.51 TWh,0 TWh,0 TWh,2 TWh,2 TWh
Belarus,2005,284 TWh,190.03 TWh,7.98 TWh,86.04 TWh,0 TWh,0 TWh,0 TWh,0 TWh
Belgium,2005,619 TWh,168.93 TWh,59.87 TWh,389.99 TWh,0 TWh,1 TWh,7 TWh,1 TWh
Brazil,2005,"1,454 TWh",201.27 TWh,151.08 TWh,"1,101.68 TWh",0 TWh,0 TWh,"1,095 TWh",966 TWh
Bulgaria,2005,173 TWh,32.66 TWh,80.51 TWh,59.34 TWh,0 TWh,0 TWh,12 TWh,12 TWh
Canada,2005,"2,470 TWh",875.92 TWh,348.35 TWh,"1,245.67 TWh",0 TWh,4 TWh,"1,072 TWh","1,036 TWh"
Chile,2005,278 TWh,91.08 TWh,32.07 TWh,155.21 TWh,0 TWh,0 TWh,79 TWh,73 TWh
China,2005,"19,713 TWh",469.75 TWh,"15,405.10 TWh","3,838.49 TWh",0 TWh,6 TWh,"1,168 TWh","1,137 TWh"
Colombia,2005,220 TWh,64.46 TWh,15.56 TWh,140.03 TWh,0 TWh,0 TWh,114 TWh,112 TWh
Croatia,2005,89 TWh,27.48 TWh,7.95 TWh,53.63 TWh,0 TWh,0 TWh,20 TWh,20 TWh
Cyprus,2005,,,0.51 TWh,34.48 TWh,0 TWh,0 TWh,,
Czechia,2005,442 TWh,89.59 TWh,233.70 TWh,119.16 TWh,0 TWh,0 TWh,9 TWh,7 TWh
Denmark,2005,198 TWh,52.01 TWh,43.05 TWh,103.40 TWh,0 TWh,19 TWh,29 TWh,0 TWh
Ecuador,2005,101 TWh,5.52 TWh,0.02 TWh,95.14 TWh,0 TWh,0 TWh,20 TWh,20 TWh
Egypt,2005,662 TWh,304.15 TWh,9.89 TWh,347.70 TWh,0 TWh,1 TWh,38 TWh,36 TWh
Estonia,2005,64 TWh,9.30 TWh,38.09 TWh,16.75 TWh,0 TWh,0 TWh,0 TWh,0 TWh
Finland,2005,223 TWh,41.43 TWh,55.17 TWh,126.68 TWh,0 TWh,0 TWh,70 TWh,39 TWh
France,2005,"1,743 TWh",477.13 TWh,156.18 TWh,"1,109.28 TWh",0 TWh,3 TWh,169 TWh,147 TWh
Germany,2005,"3,308 TWh",902.81 TWh,945.39 TWh,"1,460.06 TWh",4 TWh,80 TWh,206 TWh,56 TWh
Greece,2005,381 TWh,26.03 TWh,106.10 TWh,249.09 TWh,0 TWh,4 TWh,18 TWh,14 TWh
Hong Kong,2005,270 TWh,25.12 TWh,79.86 TWh,165.11 TWh,0 TWh,0 TWh,,
Hungary,2005,264 TWh,140.65 TWh,35.59 TWh,87.89 TWh,0 TWh,0 TWh,6 TWh,1 TWh
Iceland,2005,,,1.17 TWh,10.09 TWh,0 TWh,0 TWh,25 TWh,20 TWh
India,2005,"4,238 TWh",343.26 TWh,"2,456.11 TWh","1,438.14 TWh",0 TWh,17 TWh,317 TWh,279 TWh
Indonesia,2005,"1,366 TWh",363.94 TWh,283.75 TWh,717.89 TWh,0 TWh,0 TWh,50 TWh,31 TWh
Iran,2005,"1,899 TWh",970.47 TWh,18.10 TWh,910.15 TWh,0 TWh,0 TWh,42 TWh,41 TWh
Iraq,2005,,13.78 TWh,,280.53 TWh,0 TWh,0 TWh,14 TWh,14 TWh
Ireland,2005,183 TWh,40.44 TWh,30.78 TWh,111.54 TWh,0 TWh,3 TWh,5 TWh,2 TWh
Israel,2005,244 TWh,15.70 TWh,92.34 TWh,136.45 TWh,0 TWh,0 TWh,0 TWh,0 TWh
Italy,2005,"2,059 TWh",827.70 TWh,191.53 TWh,"1,039.47 TWh",0 TWh,7 TWh,142 TWh,103 TWh
Japan,2005,"5,158 TWh",827.28 TWh,"1,334.81 TWh","2,995.74 TWh",5 TWh,5 TWh,300 TWh,222 TWh
Kazakhstan,2005,485 TWh,60.59 TWh,312.67 TWh,111.75 TWh,0 TWh,0 TWh,22 TWh,22 TWh
Kuwait,2005,334 TWh,116.85 TWh,0.00 TWh,217.24 TWh,0 TWh,0 TWh,,
Latvia,2005,37 TWh,16.09 TWh,0.94 TWh,20.10 TWh,0 TWh,0 TWh,10 TWh,10 TWh
Lithuania,2005,64 TWh,28.81 TWh,2.15 TWh,33.13 TWh,0 TWh,0 TWh,1 TWh,1 TWh
Luxembourg,2005,52 TWh,13.68 TWh,0.90 TWh,37.36 TWh,0 TWh,0 TWh,1 TWh,0 TWh
Malaysia,2005,816 TWh,373.73 TWh,80.07 TWh,362.19 TWh,0 TWh,0 TWh,19 TWh,17 TWh
Mexico,2005,"1,887 TWh",527.12 TWh,133.43 TWh,"1,226.25 TWh",0 TWh,0 TWh,103 TWh,79 TWh
Morocco,2005,158 TWh,4.50 TWh,44.15 TWh,109.33 TWh,0 TWh,1 TWh,3 TWh,3 TWh
Netherlands,2005,"1,078 TWh",414.56 TWh,94.17 TWh,569.42 TWh,0 TWh,6 TWh,23 TWh,0 TWh
New Zealand,2005,149 TWh,37.58 TWh,26.43 TWh,85.44 TWh,0 TWh,2 TWh,79 TWh,67 TWh
North Macedonia,2005,28 TWh,0.73 TWh,16.97 TWh,10.69 TWh,0 TWh,0 TWh,4 TWh,4 TWh
