Country,Year,Fossil fuels,Gas,Coal,Oil,Solar,Wind,Renewables,Hydropower
Netherlands,2000,986 TWh,409.92 TWh,90.28 TWh,486.18 TWh,0 TWh,2 TWh,9 TWh,0 TWh
New Zealand,2000,146 TWh,58.75 TWh,12.86 TWh,74.42 TWh,0 TWh,0 TWh,84 TWh,72 TWh
North Macedonia,2000,27 TWh,0.57 TWh,15.54 TWh,11.27 TWh,0 TWh,0 TWh,3 TWh,3 TWh
Norway,2000,160 TWh,42.37 TWh,11.55 TWh,106.32 TWh,0 TWh,0 TWh,420 TWh,419 TWh
Oman,2000,111 TWh,76.75 TWh,0.00 TWh,34.17 TWh,0 TWh,0 TWh,,
Pakistan,2000,426 TWh,179.53 TWh,23.59 TWh,223.08 TWh,0 TWh,0 TWh,55 TWh,52 TWh
Peru,2000,99 TWh,3.33 TWh,7.32 TWh,88.37 TWh,,0 TWh,48 TWh,48 TWh
Philippines,2000,252 TWh,0.10 TWh,53.78 TWh,197.62 TWh,0 TWh,0 TWh,56 TWh,23 TWh
Poland,2000,"1,011 TWh",115.83 TWh,654.11 TWh,240.63 TWh,0 TWh,0 TWh,7 TWh,6 TWh
Portugal,2000,255 TWh,23.09 TWh,43.17 TWh,188.71 TWh,0 TWh,0 TWh,38 TWh,33 TWh
Qatar,2000,,112.97 TWh,,21.23 TWh,0 TWh,0 TWh,,
Romania,2000,361 TWh,159.10 TWh,85.54 TWh,116.52 TWh,0 TWh,0 TWh,44 TWh,44 TWh
Russia,2000,"6,358 TWh","3,661.91 TWh","1,230.06 TWh","1,465.81 TWh",0 TWh,0 TWh,485 TWh,485 TWh
Saudi Arabia,2000,"1,335 TWh",473.19 TWh,0.00 TWh,861.68 TWh,0 TWh,0 TWh,,
Singapore,2000,442 TWh,16.57 TWh,0.00 TWh,425.66 TWh,0 TWh,0 TWh,,
Slovakia,2000,158 TWh,67.18 TWh,49.75 TWh,40.87 TWh,0 TWh,0 TWh,14 TWh,14 TWh
Slovenia,2000,54 TWh,9.60 TWh,15.79 TWh,28.17 TWh,0 TWh,0 TWh,12 TWh,11 TWh
South Africa,2000,"1,144 TWh",11.40 TWh,867.97 TWh,264.30 TWh,0 TWh,0 TWh,5 TWh,3 TWh
South Korea,2000,"1,925 TWh",198.08 TWh,499.21 TWh,"1,227.26 TWh",0 TWh,0 TWh,12 TWh,12 TWh
Spain,2000,"1,244 TWh",176.96 TWh,243.49 TWh,823.62 TWh,0 TWh,14 TWh,107 TWh,87 TWh
Sri Lanka,2000,,,0.00 TWh,44.06 TWh,0 TWh,0 TWh,9 TWh,9 TWh
Sweden,2000,230 TWh,8.08 TWh,29.84 TWh,192.11 TWh,0 TWh,1 TWh,247 TWh,232 TWh
Switzerland,2000,178 TWh,28.30 TWh,1.60 TWh,148.29 TWh,0 TWh,0 TWh,112 TWh,109 TWh
Taiwan,2000,893 TWh,67.67 TWh,326.86 TWh,498.69 TWh,0 TWh,0 TWh,17 TWh,13 TWh
Thailand,2000,723 TWh,211.95 TWh,91.70 TWh,419.20 TWh,0 TWh,0 TWh,19 TWh,17 TWh
Trinidad and Tobago,2000,119 TWh,98.13 TWh,0.00 TWh,20.64 TWh,0 TWh,0 TWh,,
Turkey,2000,773 TWh,139.47 TWh,261.22 TWh,371.84 TWh,0 TWh,0 TWh,92 TWh,91 TWh
Turkmenistan,2000,,71.61 TWh,,48.20 TWh,0 TWh,0 TWh,0 TWh,0 TWh
USSR,2000,,,,,,,,
Ukraine,2000,"1,333 TWh",741.99 TWh,448.28 TWh,142.38 TWh,0 TWh,0 TWh,33 TWh,33 TWh
United Arab Emirates,2000,,306.44 TWh,,229.34 TWh,0 TWh,0 TWh,0 TWh,0 TWh
United Kingdom,2000,"2,393 TWh","1,013.42 TWh",427.15 TWh,952.31 TWh,0 TWh,3 TWh,30 TWh,15 TWh
United States,2000,"23,225 TWh","6,283.91 TWh","6,286.54 TWh","10,654.13 TWh",2 TWh,17 TWh,"1,069 TWh",807 TWh
Uzbekistan,2000,582 TWh,486.74 TWh,11.00 TWh,84.42 TWh,0 TWh,0 TWh,17 TWh,17 TWh
